Model,Best Column,Shape,Accuracy,F1 Score,Precision,Recall,Confusion Matrix,Y Probs
SVM,"Index(['temp_diff', 'temp_qdev', 'hr_kurtosis', 'hr_qdev', 'gsr_skew',
       'gsr_diff', 'gsr_q75', 'rr_mean', 'rr_skew', 'rr_kurtosis', 'rr_diff',
       'rr_diff2', 'rr_q25', 'rr_q75', 'rr_qdev', 'rr_max-min'],
      dtype='object')",16,0.7046632124352331,0.7397260273972602,0.6694214876033058,0.826530612244898,"[[55, 40], [17, 81]]","[0.6811673240265654, 0.22401300194132362, 0.5851521936476864, 0.4325022084795701, 0.664850522696881, 0.5945627579904645, 0.31520535813077705, 0.35509633126560414, 0.35978373844896067, 0.2636431127155563, 0.5165141554415532, 0.2720913731671796, 0.41982742039440396, 0.4377019155238796, 0.4373705516996448, 0.621797958220347, 0.5836865898766991, 0.2751548881630142, 0.35490573199199715, 0.5273600175321378, 0.3433070758707483, 0.1424807208109881, 0.5128375895164248, 0.4619287681696429, 0.5104830661121611, 0.2663784876076743, 0.23433190077877422, 0.04667898992850078, 0.42166402193630975, 0.58676402099775, 0.601249477671718, 0.5554085533305807, 0.384192476223533, 0.2662134394728506, 0.2923705473763834, 0.2025201138374024, 0.3625233240151651, 0.4012008658824645, 0.561626052905675, 0.5690997207891174, 0.5549413815438278, 0.6266903878686186, 0.5494787215198524, 0.5432111372728343, 0.517713262523784, 0.6112652083424668, 0.3645418882143491, 0.3350097902884141, 0.42816998247521587, 0.48234595887247955, 0.6274366547847685, 0.48361412167423634, 0.442220533479946, 0.147139216722035, 0.46765756552827303, 0.4336480760450911, 0.6324163148094409, 0.4118880943677983, 0.4087500834021231, 0.40106620034917406, 0.4769958318419173, 0.6285109851050588, 0.48049402580969175, 0.11220092360499832, 0.41781410482640013, 0.5053168540119102, 0.4700855025636337, 0.5153752200383069, 0.45007334925292486, 0.35021238847030095, 0.3853280891139195, 0.5071576859049809, 0.603838169837104, 0.35291267237162666, 0.5901058293906167, 0.42378543746898206, 0.34716194481346363, 0.6206365507526056, 0.3034835689940186, 0.6113029634662849, 0.6462283562609343, 0.6503625502608954, 0.6555781951193375, 0.5166534391093175, 0.4161639399077824, 0.6367828221082938, 0.20556653917438428, 0.647010377913008, 0.509542771664302, 0.6836159171141618, 0.5098250823336183, 0.42340412234936964, 0.3060519961012944, 0.36259566288265166, 0.5776568593720283, 0.6026582002200463, 0.34169551982845353, 0.4752360610327058, 0.44658799023377443, 0.6373031435456804, 0.5267419675264982, 0.5711223145145227, 0.15453790969846193, 0.28220624518202303, 0.554761099184536, 0.6365280247543998, 0.3078284556197756, 0.4714438598985809, 0.4177138670304547, 0.11239389902542082, 0.4399979853756544, 0.3601656091868189, 0.535029888029008, 0.6301083673375334, 0.4620584455376146, 0.5629549537237291, 0.6131571232425596, 0.6215427548795602, 0.6072020392555485, 0.5994282782778496, 0.6257586160324703, 0.5850389707775829, 0.6272223889181499, 0.49013045194760035, 0.5183570660522218, 0.5966937435158433, 0.6495813042580628, 0.6281437425100269, 0.587788561464411, 0.5, 0.5590831827365293, 0.4934936299324126, 0.4916797328627281, 0.47223270243178705, 0.3751554401473522, 0.44636806413117935, 0.5272576531338907, 0.41580153843826323, 0.5942600965750919, 0.5831801091758514, 0.6282830439667899, 0.4080748488979919, 0.5, 0.5727171395746462, 0.572727054463197, 0.6188848766225568, 0.6553824003554418, 0.567517543924208, 0.41001304034728725, 0.6340510035733465, 0.4500727604097782, 0.511044441448725, 0.511764165814819, 0.5115833038510618, 0.4735100894389495, 0.8139860199140366, 0.08699464182760674, 0.662792595298524, 0.6030100088694189, 0.47905145801469673, 0.7364508699428448, 0.5924478512547906, 0.2951366404620635, 0.5495299625776899, 0.5638690687220043, 0.7143129031544472, 0.6837702863647661, 0.7095775245245977, 0.5488732453560056, 0.2715121096121732, 0.5, 0.5807895492903382, 0.5864826581999749, 0.26171172590179703, 0.31380295991941753, 0.44451630266676795, 0.6257627244738455, 0.6799468969223318, 0.6346834354809513, 0.45923722134517, 0.4431747732040713, 0.398487095759607, 0.37037015205282486, 0.38796403685381947, 0.6575971365347034, 0.699272576372778, 0.5050076979277558, 0.3800090507687476, 0.4753505232600588, 0.5606705572740888, 0.7094188194919352, 0.5, 0.2312805161468302]"
XGB,"Index(['temp_mean', 'temp_std', 'temp_skew', 'hr_mean', 'hr_diff', 'hr_q25',
       'hr_q75', 'hr_qdev', 'hr_max-min', 'gsr_std', 'gsr_skew',
       'gsr_kurtosis', 'gsr_diff', 'gsr_q25', 'gsr_q75', 'gsr_qdev',
       'gsr_max-min', 'rr_mean', 'rr_skew', 'rr_kurtosis', 'rr_diff',
       'rr_diff2', 'rr_q25', 'rr_q75', 'rr_qdev'],
      dtype='object')",25,0.6994818652849741,0.71,0.696078431372549,0.7244897959183674,"[[64, 31], [27, 71]]","[0.9930576086044312, 0.31145721673965454, 0.8931251168251038, 0.7137212157249451, 0.9807778000831604, 0.7708263993263245, 0.7991475462913513, 0.8459689021110535, 0.5115075707435608, 0.4248974621295929, 0.868625819683075, 0.6114299297332764, 0.18232616782188416, 0.5942031145095825, 0.2493578940629959, 0.925458550453186, 0.6054078936576843, 0.2974913418292999, 0.5035400986671448, 0.8157065510749817, 0.5872310996055603, 0.19564378261566162, 0.5610766410827637, 0.9572252631187439, 0.9492567181587219, 0.6889845132827759, 0.846484899520874, 0.06396794319152832, 0.8746734261512756, 0.9355681538581848, 0.986732542514801, 0.9880241751670837, 0.3123123049736023, 0.6234230995178223, 0.09907321631908417, 0.33458855748176575, 0.7323043346405029, 0.8632339239120483, 0.7499101161956787, 0.010762233287096024, 0.333574503660202, 0.7523579001426697, 0.7420000433921814, 0.7486897706985474, 0.5729445815086365, 0.9555237293243408, 0.05164286121726036, 0.13689643144607544, 0.1910856068134308, 0.01565450429916382, 0.5911937952041626, 0.3146750032901764, 0.22471366822719574, 0.01598704792559147, 0.31310248374938965, 0.099504753947258, 0.9105335474014282, 0.12308505922555923, 0.09228035807609558, 0.05097286030650139, 0.5287132859230042, 0.350294291973114, 0.4304794371128082, 0.01600477658212185, 0.03986469283699989, 0.3553544282913208, 0.4236634373664856, 0.6966117024421692, 0.1621350646018982, 0.025432974100112915, 0.03262879699468613, 0.06479398906230927, 0.9142417907714844, 0.02614963799715042, 0.8974335789680481, 0.5967888832092285, 0.11485612392425537, 0.970352292060852, 0.045723263174295425, 0.5271950364112854, 0.9471447467803955, 0.7098023891448975, 0.516762912273407, 0.8958548903465271, 0.2613896429538727, 0.9292325973510742, 0.08995547890663147, 0.8944392800331116, 0.2639737129211426, 0.9091978073120117, 0.40021008253097534, 0.07326588034629822, 0.44113263487815857, 0.6580454707145691, 0.5655412077903748, 0.9559999704360962, 0.3139340877532959, 0.2881760597229004, 0.49056142568588257, 0.7999948859214783, 0.49413782358169556, 0.7501958012580872, 0.03214554488658905, 0.1463707685470581, 0.594144880771637, 0.5286641716957092, 0.14339646697044373, 0.17455196380615234, 0.08466675132513046, 0.09047717601060867, 0.13691335916519165, 0.0830051600933075, 0.5014524459838867, 0.9051682949066162, 0.6987708210945129, 0.9632128477096558, 0.9082526564598083, 0.18326659500598907, 0.850869357585907, 0.830804169178009, 0.7776749134063721, 0.6049805283546448, 0.7947477698326111, 0.1816321164369583, 0.29671671986579895, 0.8220885396003723, 0.6909956932067871, 0.8093940019607544, 0.7130732536315918, 0.7938576340675354, 0.5319954752922058, 0.056130919605493546, 0.16928702592849731, 0.2673115134239197, 0.7083503007888794, 0.45905420184135437, 0.7334148287773132, 0.00603198679164052, 0.8520787358283997, 0.3764509856700897, 0.6103219389915466, 0.9025788307189941, 0.41102245450019836, 0.14335162937641144, 0.8934773802757263, 0.5713304877281189, 0.7862498164176941, 0.49451982975006104, 0.04830015450716019, 0.951291561126709, 0.9046971201896667, 0.6539984941482544, 0.4919900894165039, 0.26471060514450073, 0.05250219628214836, 0.9076488614082336, 0.06465332955121994, 0.4138510227203369, 0.10818656533956528, 0.5278879404067993, 0.863193154335022, 0.6824949979782104, 0.2435993254184723, 0.762933075428009, 0.2946639955043793, 0.8500560522079468, 0.9132372140884399, 0.8761439919471741, 0.03592563048005104, 0.18409138917922974, 0.291970431804657, 0.9350748658180237, 0.2441740185022354, 0.38980522751808167, 0.38637933135032654, 0.7601941823959351, 0.8811366558074951, 0.9721106290817261, 0.871548593044281, 0.38405367732048035, 0.14849799871444702, 0.06994993984699249, 0.10163237154483795, 0.2507447898387909, 0.8908812999725342, 0.8622327446937561, 0.246184304356575, 0.41733893752098083, 0.44005143642425537, 0.8027082681655884, 0.7392576336860657, 0.5886853337287903, 0.4286908209323883]"
LR,"Index(['gsr_kurtosis', 'gsr_diff', 'rr_skew', 'rr_q25', 'rr_max-min'], dtype='object')",5,0.7150259067357513,0.7317073170731707,0.7009345794392523,0.7653061224489796,"[[63, 32], [23, 75]]","[0.5944965499934632, 0.40097402863901727, 0.5444219871472108, 0.47266225526228095, 0.6757586309069524, 0.6238165041149873, 0.4669808145237242, 0.433652485161029, 0.42619780925830175, 0.2855582325725823, 0.39762200820183585, 0.3355612379518822, 0.4293924287176011, 0.4261962809056572, 0.48852332188205255, 0.6091117457934133, 0.5791633479478656, 0.39790095153074045, 0.5136080956680108, 0.5112322298416602, 0.44162617826134487, 0.3104725460760858, 0.5192290379792528, 0.5506484635296559, 0.5402011513862076, 0.4065575683188749, 0.23743745941714325, 0.20673512506239183, 0.5085945431054414, 0.573504718119831, 0.5749548583475165, 0.5240012315140575, 0.45091057898167236, 0.45191798299217795, 0.3362671057167987, 0.29215791414918607, 0.39322512215530014, 0.4307562448921961, 0.5351499322959965, 0.6584222856669008, 0.5131275523718279, 0.5844571293759172, 0.5399884570080513, 0.572013692463025, 0.5160201617664253, 0.6046940668489222, 0.43150100154407517, 0.4409030649240538, 0.4912166317188277, 0.5061904729245666, 0.6377946586248935, 0.4938275100438159, 0.4184358353146088, 0.18925621757292674, 0.49406924381806966, 0.46487911035418655, 0.6446651579503769, 0.4650009697784497, 0.42860248828228115, 0.46163446919004303, 0.5362583207449932, 0.6085158486206917, 0.5211067319166242, 0.15233355543210803, 0.4030906364234751, 0.40316309181654497, 0.5111411164270185, 0.585102181345901, 0.4896047315126107, 0.3874730586213867, 0.5095335978942029, 0.3964204878026434, 0.562661718357936, 0.41224872713609895, 0.5771787985088431, 0.41150619647813336, 0.32048093327311966, 0.5779024350294291, 0.4375282140348834, 0.5810886197631722, 0.605540461441791, 0.6198439365526883, 0.6258087760941846, 0.5239594255977598, 0.44347101443456144, 0.557532702322082, 0.23186145539594322, 0.5976432329037907, 0.5023250212215125, 0.5413839347798601, 0.5110224307615969, 0.44913492315432335, 0.2576804009141543, 0.2708305631684496, 0.4937245007213554, 0.5671669698738199, 0.43840786413682625, 0.4799914064879808, 0.45439134691816885, 0.6088352350288277, 0.5299528705948716, 0.5448212550834207, 0.25974146520098124, 0.38604776638769595, 0.5508387638362983, 0.5964061954650651, 0.44113278128551275, 0.5443538668034978, 0.4300786045956726, 0.26125394702426064, 0.41740840657163875, 0.44078599818748637, 0.5684056137457209, 0.5859336555103833, 0.5125622136922788, 0.5437623673822115, 0.523383672243934, 0.5308709625213505, 0.4737637269644608, 0.5794626776128103, 0.5133936380407962, 0.5681318330776467, 0.5875058525649112, 0.49829224928326926, 0.5418639924840173, 0.5799013083215893, 0.6128204906699505, 0.5794256752913213, 0.5863474262887468, 0.47994990957938455, 0.5442151485603032, 0.5350832181959323, 0.5138145658824539, 0.491077011180062, 0.3821385941663017, 0.5295862372256608, 0.4873161946240232, 0.4524629994637105, 0.5576754090380888, 0.5613201339753806, 0.6190386180249264, 0.4734890546977956, 0.5224480034609299, 0.5677906785948661, 0.5837611617069598, 0.5888402695565415, 0.2382909871716354, 0.5479100082089746, 0.4139371560953864, 0.527661029240858, 0.5227712070566752, 0.555248973589147, 0.46564088318285324, 0.48316880934709316, 0.49538007026073916, 0.6972870923630671, 0.09021637665756235, 0.6547311338475457, 0.7498571417006323, 0.48051158476125766, 0.7187820693531091, 0.6187219781504001, 0.31892358992923264, 0.5992619011558306, 0.5842628402877427, 0.67129259636869, 0.650523445720982, 0.6323875789210786, 0.5844326933413286, 0.4326594318592088, 0.46880178666534134, 0.6469029143731229, 0.6373715164471582, 0.36720639646976655, 0.46245748909037027, 0.45330565807973683, 0.6397375487219636, 0.6425260135170687, 0.6359169524672023, 0.5438225835025272, 0.5831988434071128, 0.4734259061523, 0.468838917727762, 0.5112092895902497, 0.6911881767230181, 0.6580715023056358, 0.5274730470720362, 0.34525627630020606, 0.4670801295838597, 0.5768795962692649, 0.7085820351557736, 0.5462714022363737, 0.3104083677917824]"
RF,"Index(['temp_diff', 'temp_q75', 'hr_mean', 'hr_diff', 'hr_q75', 'hr_qdev',
       'gsr_diff2', 'gsr_q75', 'rr_std', 'rr_diff2', 'rr_q25', 'rr_max-min'],
      dtype='object')",12,0.7305699481865285,0.7263157894736842,0.75,0.7040816326530612,"[[72, 23], [29, 69]]","[0.7289374726867363, 0.1891019683071407, 0.7207560824779098, 0.5561572144771993, 0.7790727614971528, 0.6633553707413969, 0.5038532415454925, 0.48672247883634784, 0.27154091664584645, 0.2850961155064603, 0.6485702139245454, 0.3283886043383697, 0.5047644150915073, 0.4843007591726524, 0.3698500937334271, 0.7406946495967399, 0.681960981859577, 0.3805119733051903, 0.5493405908151758, 0.43439055417354655, 0.5806131894019763, 0.16570643363728468, 0.44247976287707436, 0.5637850029118702, 0.6941545699394454, 0.4422381897294333, 0.264616220471962, 0.3268375419425436, 0.5834082324443555, 0.6707381930199836, 0.7335579452679472, 0.7560568294309004, 0.1616790370849194, 0.38349586866299457, 0.23627089460509937, 0.2629554355246852, 0.6098086866246321, 0.4743249673384187, 0.6615575657871775, 0.3585539878021358, 0.47554805458142557, 0.5634140860206848, 0.6026258486408673, 0.7162957316277179, 0.41326186464900433, 0.7830064355466514, 0.2489738755381669, 0.3911909659737456, 0.3122882270955877, 0.4223545609926735, 0.5767735639998325, 0.43837534541673456, 0.5418416406627588, 0.1316345136345136, 0.4283873100282611, 0.4381045064579962, 0.7224997927211791, 0.16844138068051112, 0.2147953422722538, 0.49385656592511773, 0.5236526639138313, 0.5750679605698071, 0.5784155821293094, 0.23628129061639694, 0.4178722528712282, 0.42922520829137256, 0.34551321383920075, 0.6406647642754602, 0.27879343460818945, 0.22972365503552117, 0.31721050995446726, 0.4314302707678971, 0.45865922970888506, 0.2965602802575941, 0.590596666914938, 0.33425994784475854, 0.1930843730704804, 0.7127125009994631, 0.1502207169276135, 0.782053561353673, 0.8002242434722444, 0.7127306268534659, 0.7236024725795805, 0.517199870456029, 0.1575162454239552, 0.34499066316757054, 0.2453193713659023, 0.7570120819511433, 0.4087095591189162, 0.84972351423511, 0.45676183795397834, 0.22203483414584568, 0.2198983901483901, 0.31662529690873614, 0.5732159314202208, 0.53150584628445, 0.22369584288624045, 0.4988167447036927, 0.3488881559444343, 0.8130448744238798, 0.452851757712938, 0.6599825516634248, 0.21308235930735925, 0.2073944301155008, 0.6909598337210099, 0.7076721330147167, 0.3865522972102945, 0.3035798865805888, 0.27634619559085044, 0.28210364883501865, 0.4816540384256489, 0.17237857565489145, 0.551913679838773, 0.6855435113848064, 0.4222887102645194, 0.8167093603658063, 0.36516065768256595, 0.6498715732167429, 0.6504910594684533, 0.6973228326785305, 0.7605858317423349, 0.6644824025858264, 0.6397012397275207, 0.41143790485424414, 0.48829674039090587, 0.7524920641277525, 0.6756793601098965, 0.7180600952844564, 0.7416972079316596, 0.6172422875656421, 0.6708615681232357, 0.3617135859361111, 0.3549343583686058, 0.2810937107598433, 0.29824627170898327, 0.3442848628517001, 0.3961385081998617, 0.2311794280248724, 0.6785939017284939, 0.6423758360049322, 0.6628699060970535, 0.45043590254062554, 0.3931112100189284, 0.6594471880285864, 0.7692088761994184, 0.6457724132394046, 0.7592635322494323, 0.5609014028294081, 0.41053790522326855, 0.47050062687421285, 0.2917880062827537, 0.4596569958489467, 0.44094872220839115, 0.40366516169715094, 0.40534354749225826, 0.6110582584633986, 0.37571219202253686, 0.6625942657108924, 0.4427278799237453, 0.4699969880458324, 0.532869974988173, 0.6794074985996112, 0.4130453587223381, 0.6689998929578573, 0.6010315692395513, 0.6206581689989444, 0.6156019424132694, 0.674852644294414, 0.42315962078295105, 0.37879502078609223, 0.5952579322825988, 0.5855609529763913, 0.6273803503549946, 0.5468826012638474, 0.38610101286300136, 0.4847344380797597, 0.5707392813394014, 0.6782249880007386, 0.6938122781814985, 0.527390585382836, 0.447731545278776, 0.45672688880722745, 0.39053568886603973, 0.48969351882111134, 0.6184518820001005, 0.7028084095342372, 0.47470911715752995, 0.662586004372785, 0.5539242963155518, 0.5935092592590111, 0.6684958819942236, 0.4621570469615067, 0.3370597676601632]"
