Model,Best Column,Shape,Accuracy,F1 Score,Precision,Recall,Confusion Matrix,Y Probs
E7GB,"Index(['temp_std', 'temp_diff', 'temp_q25', 'temp_q75', 'temp_qdev',
       'temp_max-min', 'hr_mean', 'hr_std', 'hr_kurtosis', 'hr_diff', 'hr_q25',
       'hr_q75', 'hr_qdev', 'hr_max-min', 'gsr_mean', 'gsr_kurtosis',
       'gsr_diff', 'gsr_diff2', 'gsr_q75', 'gsr_max-min', 'rr_mean', 'rr_std',
       'rr_skew', 'rr_kurtosis', 'rr_diff', 'rr_diff2', 'rr_max-min'],
      dtype='object')",27,0.7150259067357513,0.6583850931677018,0.8412698412698413,0.5408163265306123,"[[85, 10], [45, 53]]","[0.6221863449638683, 0.3381982170954417, 0.5356675212048985, 0.4057780951480407, 0.6184684568604585, 0.5826743708214246, 0.4544405189553931, 0.4524357431839518, 0.3610809783743886, 0.4445596559931226, 0.45816107282274915, 0.40079273532304827, 0.3097225172289896, 0.33209329561848844, 0.2860117047848777, 0.5944626772095885, 0.5558914316432155, 0.2776779486028723, 0.3809666974587227, 0.48814272949142784, 0.4269016442402677, 0.29772995434998667, 0.5223746539472347, 0.40516764723069915, 0.5275880682023231, 0.42894582398932307, 0.3544988710872519, 0.35818049254759343, 0.5090273025766134, 0.5264654170835654, 0.5993442895753491, 0.6269366330660229, 0.3470898029750801, 0.40302267807532993, 0.39356942568272096, 0.39763839699606873, 0.436960804617086, 0.426746025956962, 0.5529028900032935, 0.2785799730165498, 0.4017571567547374, 0.4735634382948172, 0.44145981536520573, 0.5463870922449285, 0.32355485978283105, 0.6497505137476507, 0.32337083901711083, 0.27965530593468624, 0.2989244761324841, 0.3513061554662905, 0.4418807965086682, 0.3922721162408388, 0.34118705314634434, 0.2571857118175652, 0.2722691296966725, 0.3670124735455315, 0.513399459082339, 0.28582687874354273, 0.3346556383904605, 0.3220045139380442, 0.36983796759871534, 0.3850704159726367, 0.5357984905133323, 0.23918247255686118, 0.326550817430749, 0.31742762837386573, 0.3210068925361314, 0.5817836150436468, 0.2883742781449004, 0.25344773229645784, 0.2981432749057537, 0.3174796558084253, 0.38422247551125344, 0.2992447217741175, 0.5658144104368306, 0.3162534211013909, 0.26894988687117416, 0.5456232507910224, 0.3001445921450583, 0.5749838178873379, 0.5691382271533505, 0.5540846675051463, 0.5465840081799904, 0.37498662955031103, 0.4152166119845482, 0.4914817913832561, 0.40076476667754957, 0.5175836119388988, 0.4559144362238779, 0.5606485862039832, 0.46392465495931157, 0.2624846399605317, 0.37503213021552584, 0.41938007113039083, 0.5315892452535385, 0.6012059600819573, 0.3635532354398163, 0.4823694288251247, 0.43662584115799363, 0.5447703902241104, 0.47833542137939383, 0.5716035919939325, 0.335740127156807, 0.3373586263571368, 0.5554590959755139, 0.5180595419430871, 0.3244974685022688, 0.415906876089413, 0.40911664502385836, 0.3021384645699573, 0.4636276445558234, 0.33683114518480173, 0.5492269833320296, 0.6211243359770571, 0.4390612524101072, 0.5404833502444208, 0.40318461495273505, 0.49051101335703184, 0.5573834605921301, 0.5864831507062207, 0.5461889895942559, 0.55538567747261, 0.539299636535171, 0.42316981988709046, 0.4860557900968249, 0.5641471285103818, 0.5149610662625089, 0.5848938352571157, 0.5397224378449692, 0.5603745743022673, 0.5310011830923163, 0.4303640437334131, 0.5115658931035189, 0.29607689516554525, 0.48207372759993805, 0.463703570535369, 0.4361063758518334, 0.27985762367455647, 0.489906136235025, 0.5383104643591097, 0.5364815950780717, 0.391187765977713, 0.3802801331428335, 0.46919244434897905, 0.5929722887137544, 0.5603949094181914, 0.5227951555274412, 0.4813309869301441, 0.3127685619677303, 0.4564642846696182, 0.36364099469860584, 0.5356261270007652, 0.47060551253525523, 0.38666563793333814, 0.36803194986681814, 0.5644440896763772, 0.3832039127105836, 0.4578900631938149, 0.4159164069969252, 0.44602043331198793, 0.48608006351610455, 0.532622419672259, 0.4139811191644793, 0.47564441107585864, 0.3996540440122698, 0.5549890977843052, 0.5213995275385757, 0.5618419566589173, 0.3961995781719573, 0.31961409220998044, 0.36831917714192686, 0.5573727990024915, 0.43638485563116425, 0.39562732569557924, 0.38657773636244375, 0.40560540041441606, 0.41184520333650854, 0.5683666205779314, 0.5696132235274873, 0.3817664511157198, 0.3609021975884514, 0.3778828318226102, 0.3494157966702355, 0.3653595223962426, 0.6092998827450289, 0.46174030339889116, 0.41609023501154396, 0.4199433597920446, 0.37161475978812875, 0.40105264832551635, 0.505602367063855, 0.3875590524907169, 0.3440977350928958]"
WGLR,"Index(['temp_std', 'temp_skew', 'temp_diff', 'temp_q25', 'temp_q75',
       'temp_qdev', 'hr_q75', 'hr_max-min', 'gsr_skew', 'gsr_kurtosis',
       'gsr_q25', 'gsr_qdev', 'rr_q25', 'rr_q75'],
      dtype='object')",14,0.7409326424870466,0.75,0.7352941176470589,0.7653061224489796,"[[68, 27], [23, 75]]","[0.740707728146447, 0.20958126239791794, 0.6565980768016716, 0.5086100967363243, 0.7939834501028781, 0.7070543184131781, 0.4300285074674153, 0.3560098565177335, 0.45123327558317017, 0.3476583802754538, 0.647681832584471, 0.5206284168678936, 0.41002366182282857, 0.47625919386453286, 0.516661990670058, 0.6890511451929403, 0.5751238281898285, 0.34168809184758936, 0.5182056351148372, 0.5333596566597599, 0.4046623436096123, 0.18814604570196813, 0.582704446106141, 0.5201937611099536, 0.6632321024911874, 0.41592882287864863, 0.48122476140612885, -0.38995576167950086, 0.5223396382113976, 0.6004388045161626, 0.6445893481526704, 0.5889691466152751, 0.4268733434918348, 0.3637815608403572, 0.6593523367973454, 0.4051170496750054, 0.5734355757468761, 0.391056796961332, 0.6579300760741, -0.17455141185965156, 0.544853143071345, 0.654858185098587, 0.6172889684994631, 0.6564218387281752, 0.5532886554981837, 0.6077525168567256, 0.45778940090398496, 0.37638101036915717, 0.4444953833958274, 0.2698992436974691, 0.2970214773922619, 0.4331988625055786, 0.37749598497396053, 0.16665074129075436, 0.31408835597186036, 0.44425939266393094, 0.5857589416592341, 0.4284920669415562, 0.4044178788536715, 0.4547469894002392, 0.35772522363444387, 0.6079558760940673, 0.5521581882910993, 0.05978650536215585, 0.4886810676867941, 0.41851569521407106, 0.5377197538391463, 0.5517245514392904, 0.40213236526126167, 0.35106977729556205, 0.40622488640245746, 0.44612926211568954, 0.6170392652795315, 0.4021202968046117, 0.6299179254016005, 0.4590727944128141, 0.2985514558057123, 0.6220042671305223, 0.3709838804746737, 0.5562547198717146, 0.580867552813883, 0.6390554391731749, 0.6522837951403325, 0.5537241201834662, 0.3923777981057087, 0.5338204700271587, 0.21360074155644143, 0.6118830440225567, 0.5408421655149223, 0.6665414197303817, 0.5335078999560601, 0.4773511637933846, 0.309769287661799, 0.6811061004854121, 0.5394608819938531, 0.5924606737185889, 0.25692649738602114, 0.47642906164025234, 0.48088470526108384, 0.6768119736398742, 0.4109574911678015, 0.5238941048746075, 0.18426779472393806, 0.29623990769611236, 0.51294099148517, 0.6972909955928035, 0.3422047271489729, 0.49885009544688547, 0.3476130480553372, -0.25310779339630474, 0.4940282714194157, 0.4674735559648454, 0.5675449263249135, 0.7385895300406589, 0.4759740206481831, 0.5063760215657422, 0.535154135294823, 0.7549481265886571, 0.701620054930565, 0.734682602984133, 0.6080668558899823, 0.6993181362422018, 0.703050698238458, 0.4615513097137232, 0.6172493008013482, 0.6530758487231689, 0.7284131381322456, 0.7460286245558679, 0.6498886437079561, 0.40794816162071246, 0.6650851878764418, 0.5776044804632277, 0.5582040158723441, 0.482297381984142, 0.5239978361497171, 0.40968836546617476, 0.4853856200428589, 0.5245720521168167, 0.627883531850148, 0.5815114345243437, 0.6025769556034191, 0.4318780067389409, 0.489569031617448, 0.5272244035048248, 0.5897037027482771, 0.6187515161976118, 0.010445039757769725, 0.6029355427420571, 0.4962819786514209, 0.7495408773993291, 0.5443728393251364, 0.6259643038097589, 0.37298285504274725, 0.5864739395460825, 0.48269471065707126, 1.1282231653625145, -0.6107887528288315, 0.3227116712008047, -0.39338547480219166, 0.6885340471588389, 0.925606331621552, 0.7980496902943618, 0.4147763743879892, 0.6370296049909723, 0.6004731214621727, 0.8117311588172255, 0.8333865612275327, 0.9914522201151673, 0.6483529265290694, 0.4557279524036748, 0.7066424869162923, 0.7360201717885184, 0.6611425570175943, 0.21562031089975164, 0.36388284721044983, 0.49873851752054843, 0.7470873027221415, 0.6682870009062228, 0.8336132276251627, 0.5730575663349917, 0.3518912488107292, 0.4492548621691316, 0.3777774510161176, 0.4318236417414866, 0.6550915360832279, 0.7252328723485972, 0.4699678391199199, -0.17025487209084367, 0.46005241447554424, 0.4787554292891239, 0.5506786694142571, 0.6622005234590795, -0.12696227100680912]"
