Model,Best Column,Shape,Accuracy,F1 Score,Precision,Recall,Confusion Matrix,Y Probs
ESVM,"Index(['hr_qdev', 'gsr_q25', 'rr_diff', 'rr_qdev', 'HRV_HTI', 'HRV_PIP',
       'HRV_C1d', 'HRV_Ca', 'min_SCR_Height', 'mean_SCR_Recovery',
       'max_SCR_RecoveryTime'],
      dtype='object')",11,0.7098445595854922,0.7171717171717172,0.71,0.7244897959183674,"[[66, 29], [27, 71]]","[0.5033739601639028, 0.4980866878945891, 0.501919403077604, 0.49918972584639393, 0.5024520686051107, 0.5023227597617648, 0.4969319480499364, 0.4981970255209383, 0.4990437403789961, 0.496831543730267, 0.5007550491861592, 0.4984510800575386, 0.49935241792067553, 0.5011843986549783, 0.49990329662100685, 0.5020418372698859, 0.5024461477549661, 0.49643216206832264, 0.4971716209031817, 0.49938640174383686, 0.49699430091286695, 0.4916557348491739, 0.4984908653582996, 0.5006147382379332, 0.49928870857695384, 0.49590972860575583, 0.4971565375907421, 0.48869330035037245, 0.4989627178330126, 0.5019534026490895, 0.5008742236614524, 0.5006015995528698, 0.5009128319136239, 0.49512888263751936, 0.49833036807961323, 0.492815322149333, 0.5017125490619037, 0.49825494517712193, 0.5030536488930267, 0.5010539755917354, 0.502283580943686, 0.5014539995488982, 0.5018341293977209, 0.5012603320688339, 0.5013907755329666, 0.5020524813231069, 0.4980995227755281, 0.49720692699457275, 0.5008440255407843, 0.5003227377478948, 0.50185506519476, 0.5021018565747921, 0.49847908102583505, 0.49809640927452875, 0.5021757963984231, 0.5008693572539975, 0.5029483279190926, 0.49924660408151694, 0.49994326014762736, 0.49900381860095244, 0.4996044017279222, 0.5011993493479872, 0.4994321515174123, 0.49616213444620305, 0.4972392163282065, 0.4992128480665512, 0.500366719592725, 0.5017723735862382, 0.4990469987940445, 0.49740973989347237, 0.49821013773509326, 0.5014713061835042, 0.5047997195372361, 0.49992992387154217, 0.5027745995882124, 0.49869686174739125, 0.49781701979764176, 0.5019992430713064, 0.4994771001530099, 0.5044045413549324, 0.5049265737370137, 0.5058320106431561, 0.5043946594257503, 0.5029840445544845, 0.4994865886143966, 0.503688556884671, 0.49630926875003967, 0.5049151124023866, 0.500834306445234, 0.5034424644064337, 0.5018567027093632, 0.5013194574441833, 0.501153408938613, 0.5019428291799456, 0.5021476686545759, 0.5022068246597219, 0.4980629634085203, 0.5013353653659223, 0.5021249671148003, 0.5039862419739816, 0.501493932034596, 0.5017085874285739, 0.4990700201170573, 0.49814736645636015, 0.5030427850367157, 0.5038514004341468, 0.4978886983606984, 0.5011309593464265, 0.5014906007923933, 0.491121622635345, 0.49971838601958946, 0.4991859277957152, 0.5000038260286817, 0.5026556297548522, 0.5021538493246664, 0.5035503660659211, 0.4991287611481006, 0.4998743077562474, 0.5012568400617157, 0.5008281209449051, 0.49959880023863773, 0.5004816998408718, 0.5012785490244136, 0.4984673547463066, 0.49807857740868217, 0.5005238683977231, 0.5010571448736882, 0.5010913636938247, 0.5003324976527348, 0.500348664280461, 0.5005629606660088, 0.49941522340750233, 0.4990988895788689, 0.5015234004931307, 0.49635472661770397, 0.4992268786978424, 0.49770916409521454, 0.4996657851211111, 0.5019363095013923, 0.5028709868043336, 0.5020254330677839, 0.4962198387209418, 0.49978863241781674, 0.5016776214903816, 0.5013408675751936, 0.5016006754609436, 0.5009811934830433, 0.5005839223669335, 0.4993396280053852, 0.5025842423921776, 0.497577307795751, 0.49909319129370866, 0.5008240320794316, 0.4994199513679587, 0.4984225596145271, 0.5008842328935935, 0.49466171308329654, 0.4993559013202754, 0.4976993357711365, 0.4998192453458142, 0.5026098983455523, 0.5012887058404748, 0.4975313700260703, 0.4982036809970198, 0.4997039274947512, 0.5028007768876382, 0.5025522039274062, 0.5032859415167782, 0.49892788129079013, 0.4971755241059335, 0.5002013314714175, 0.5006026962639867, 0.5006947109807738, 0.4949548563117353, 0.49786185002827454, 0.49632513036961745, 0.498850892809207, 0.5028726193448666, 0.5008564028031155, 0.4981839427061267, 0.4969600753366054, 0.49905285196925786, 0.4963918580832298, 0.49592165789475917, 0.5024841520624521, 0.5031005949075092, 0.4975462522917696, 0.49995792781324344, 0.49864228121302034, 0.5003003068952065, 0.5020069940398695, 0.4992070525628461, 0.49659091208025047]"
WGLR,"Index(['temp_skew', 'temp_diff', 'temp_diff2', 'temp_qdev', 'temp_max-min',
       'gsr_std', 'rr_kurtosis', 'rr_q25', 'HRV_MeanNN', 'HRV_CVNN',
       'HRV_CVSD', 'HRV_pNN50', 'HRV_SD1SD2', 'HRV_CVI', 'HRV_CSI_Modified',
       'HRV_C1d', 'mean_SCR_Recovery'],
      dtype='object')",17,0.7305699481865285,0.761467889908257,0.6916666666666667,0.8469387755102041,"[[58, 37], [15, 83]]","[0.5634681158518257, 0.26545272260125596, 0.5762654215177515, 0.49709714331658916, 0.763086228676858, 0.5823239820705076, 0.5414591033810121, 0.3703041657713436, 0.44198439387215194, -0.0925769383108781, 0.16903568881922437, 0.4556365710306033, 0.4643287415820373, 0.3165129188892062, 0.5831711112468052, 0.5620991723127954, 0.49266612510605556, 0.3713620108064224, 0.5463183401363667, 0.3585873178721095, 0.5469280214113996, 0.2927484122652031, 0.18431761995048979, 0.636779545067423, 0.4742304671750368, 0.6630218908854566, 0.34225938170797776, 0.33121955516032064, 0.5488592266615936, 0.3630928527382058, 0.5376489693600824, 0.23652339714184079, 0.5437285023495128, 0.6070666087114381, 0.498370123568486, 0.8466632381170442, 0.5353455639406663, 0.38898183064767566, 0.5720176770456383, 0.2595038865763909, 0.4369477609615344, 0.551887178908849, 0.39196341915674604, 0.5478688432109914, 0.5498247243201843, 0.6632504942851691, 0.31540956377743634, 0.23161083706983954, 0.4459045217223506, 0.4401200094922906, 0.5584333914716871, 0.5206401870282499, 0.33199336719903594, 0.06943657437971917, 0.4325710450498349, 0.44295683248189255, 0.5738220820398048, 0.3526966649789437, 0.3712062392825024, 0.5248870129953327, 0.5449558530105826, 0.8848109994192459, 0.5175654966488783, 0.16621112572696894, 0.4011238479494911, 0.2501265287171214, 0.5827035716030148, 0.5598153819370526, 0.21557782527711655, 0.1599718274091353, 0.41747599102197064, 0.21226787054912843, 0.6187510996609152, 0.5104307840995457, 0.6297839350798947, 0.3767091764313233, 0.3024643188407766, 0.7558585323453619, 0.41574304625120195, 0.954554179791636, 0.898799169898406, 1.1579184201540902, 0.9947821204569933, 0.9390976413417206, 0.6936402746936785, 0.5694884083414096, 0.007360291013524867, 1.0460013614746175, 0.49116806716830763, 0.8829234628421795, 0.5412055566293986, 0.512075011984762, 0.07292156403517125, 0.2619086817734676, 0.5502987082013545, 0.5350953859470573, 0.34772226614122226, 0.5636137719557693, 0.5247340864148841, 1.0036253762462972, 0.5648641403298245, 0.5085602760598125, -0.14835924899262398, 0.281919026900197, 0.7295575109687253, 0.7554994034400062, 0.6204759131631871, 0.5025512997429245, 0.5480924359433363, -0.15537316948956748, 0.44641741373580646, 0.4252282318509274, 0.48107578131124595, 0.5667446446546263, 0.7247665598865722, 0.9185591016597876, 0.6212644221577331, 0.654513823872445, 0.8506636553882374, 0.8932785276760936, 0.9905041808264694, 0.9721472430897045, 1.0364806909658382, 0.8899070494654306, 1.1813621035368, 1.1066991907748862, 1.0804818582669673, 0.9030012437626822, 0.9293962251266281, 0.8052467159956223, 1.0142670027553773, 0.5209387325879788, 0.6850228400761178, 0.4725311486641337, -0.0495244568472446, 0.27483894766389905, 0.2708262944489781, 0.41940627524857776, 0.861915264925045, 0.8461440048510633, 0.9890183593302854, 0.2796268361881602, 0.7545317105792473, 0.6314371874511151, 0.8143178584067077, 0.9012226522832963, 1.007598088040852, 0.6472985948466841, 0.3975040443622787, 0.4119622843079431, 0.2927053388647157, 0.48009480146937034, 0.6602666935182468, 0.33423545744472183, 0.44739698002197026, 0.5936423426302642, -0.2364676187214778, 0.541735215767142, 0.18542840037369945, 0.52521892279925, 1.0160843831459483, 0.9312093460289588, 0.30020531131100436, 0.5421663336805421, 0.44157955149284, 0.7608432369992065, 0.9276244599584034, 0.950175396938022, 0.72561104555761, 0.28306404486378856, 0.5777355263954285, 0.9321675202819751, 0.9493570249431598, 0.3010551739384397, 0.9328959904158017, 0.24002351074646755, 0.3627909582138579, 0.9693512257679348, 0.9614631331229221, 0.3172446936745179, 0.4685364548468225, 0.8614601139099686, 0.42825169187408385, 0.4170582585523458, 0.8008395815262237, 0.949481658723623, 0.2726666716007483, 0.08464142860645807, 0.2268446731653696, 0.587925204250977, 0.4915464640680093, 0.41617960726487746, 0.04786823955472164]"
