model,accuracy,f1_score,confusion_matrix
CNN,0.5854922279792746 +- 0.022717847645085092,"0.6,0.5698924731182796","[[60 35]
 [45 53]]"
RNN,0.6580310880829016 +- 0.07816240943935619,"0.6796116504854369,0.6333333333333334","[[70 25]
 [41 57]]"
