Model,Best Column,Shape,Accuracy,F1 Score,Precision,Recall,Confusion Matrix,Y Probs
ESVM,"Index(['temp_std', 'hr_diff', 'gsr_mean', 'rr_std', 'HRV_MeanNN', 'HRV_MCVNN',
       'HRV_S', 'HRV_PI', 'HRV_SD2a', 'HRV_Cd', 'min_SCR_Onsets',
       'max_SCR_Peaks', 'min_SCR_Height', 'max_SCR_Recovery',
       'mean_SCR_Recovery', 'min_SCR_RecoveryTime'],
      dtype='object')",16,0.7046632124352331,0.6742857142857143,0.7662337662337663,0.6020408163265306,"[[77, 18], [39, 59]]","[0.5236284130467989, 0.4601461621206545, 0.5048581017389422, 0.4913429785374025, 0.5241383453180475, 0.5169048816372325, 0.47671885265848063, 0.47367919610275105, 0.4670072962325602, 0.41976159596908835, 0.477865623427645, 0.4451511326533014, 0.47943383008195317, 0.4934371823694214, 0.49779050464054153, 0.5138020070301726, 0.5041873827547327, 0.4677177073810461, 0.4670554758305997, 0.48883821542640654, 0.4694356059524369, 0.42216859885251795, 0.4841420423406871, 0.4974154211162286, 0.4776445918346234, 0.4651431895034713, 0.4299025988203227, 0.37801228861202196, 0.4865229720283596, 0.5100539980091869, 0.4932287573851027, 0.5011070512031484, 0.49898913804871203, 0.4657491171025497, 0.45877381795765293, 0.43086825359112824, 0.45365801902663716, 0.4769020354764048, 0.4942971052992851, 0.5115111483835219, 0.5083857892897995, 0.51768684041065, 0.5014099554588505, 0.5110676578582736, 0.5163902522187481, 0.5229916109053745, 0.46951550884825055, 0.4724000100656256, 0.494125790294885, 0.5023410607380756, 0.5218934156349297, 0.4987757425197072, 0.4778081170621676, 0.4375962118173101, 0.5006295523752908, 0.483488117451434, 0.5212056134953663, 0.48116565858473903, 0.48153123493079547, 0.4851559925421043, 0.48981464174709655, 0.5148012956819035, 0.5015852806932144, 0.41111060852802706, 0.4609282492401719, 0.4764942136651552, 0.5047401423546768, 0.5169313203689101, 0.49054113473715405, 0.46916865029088645, 0.4811766393894793, 0.4819336770515103, 0.5249815517106917, 0.47892833729916995, 0.5199182039461439, 0.48890114310036914, 0.47645397263713296, 0.5391517586557475, 0.5005508247031085, 0.5458147559425005, 0.542394217162292, 0.5461950359732404, 0.5415591157869695, 0.5309565416889148, 0.5014897882502807, 0.5196441236823387, 0.42516541581580286, 0.5432678205148946, 0.5253767734112584, 0.5321656633074636, 0.5194219953913122, 0.5019298071088574, 0.45668187545664507, 0.44185666297658355, 0.5000580804280201, 0.5179273098085015, 0.4962489553872208, 0.5271147996451556, 0.49871958047639914, 0.5387063550065222, 0.5185912269675157, 0.5269054396730841, 0.4421747345272177, 0.4782741189227452, 0.5300166416661037, 0.5376753513777728, 0.496013997069351, 0.5197221469095372, 0.5118986886210947, 0.4018095834782202, 0.48889883659754585, 0.4964587899005536, 0.5082069243052666, 0.5255972376231608, 0.5227849224260838, 0.5386931797590502, 0.46455178873485936, 0.48009280798694126, 0.49173708386811676, 0.4928342529402187, 0.496310452234487, 0.49662726161398435, 0.5059461945253602, 0.4811793557590539, 0.49480714619686744, 0.49933314074531476, 0.49729077438711733, 0.5021101729318704, 0.5009023439843133, 0.49549314438023456, 0.4997502645875651, 0.4787193007659713, 0.4858114453846057, 0.46874555519434385, 0.4359111954952388, 0.4848668407645034, 0.48374858486960365, 0.48158788890445026, 0.5054757906416495, 0.505897460773166, 0.5102941935682834, 0.47637289766898133, 0.49447762447263954, 0.5078018473347722, 0.5071506597521528, 0.5137322781391194, 0.5085319030386776, 0.504403896318656, 0.4815583310072348, 0.4881651983813771, 0.4673515270010509, 0.48928299091856686, 0.5000622116212443, 0.4812343644599764, 0.486720255255216, 0.4913175451013231, 0.400929490677534, 0.48185446615019056, 0.46060600803923313, 0.47145505024432405, 0.5165052396578449, 0.5106527078897346, 0.40614015983015733, 0.4818815776016685, 0.476518306037418, 0.5196209671703379, 0.5157869152629917, 0.5130808376898786, 0.49202246219420165, 0.4344025556776643, 0.4593670709843432, 0.5100917585484827, 0.5069014081332731, 0.4336958511072327, 0.494048161351687, 0.42833782244717017, 0.47630376201349867, 0.5167554342990064, 0.5090312187093626, 0.4517684153932187, 0.4694468957905663, 0.49823067654554803, 0.450007073736639, 0.4560074090803456, 0.5117522373708738, 0.52017622682968, 0.46455499514387616, 0.48097512635192397, 0.47904343186683324, 0.4774231251156286, 0.5089168522392676, 0.4856516478600637, 0.44016733755040083]"
WGLR,"Index(['temp_mean', 'temp_std', 'temp_kurtosis', 'temp_diff', 'temp_qdev',
       'hr_kurtosis', 'hr_diff2', 'hr_q25', 'hr_qdev', 'hr_max-min',
       'gsr_kurtosis', 'gsr_qdev', 'gsr_max-min', 'rr_std', 'rr_skew',
       'rr_q25', 'HRV_TINN', 'HRV_HF', 'HRV_S', 'HRV_PSS', 'HRV_GI', 'HRV_PI',
       'HRV_SD1a', 'min_SCR_Onsets', 'max_SCR_Onsets', 'min_SCR_Peaks',
       'max_SCR_Peaks', 'min_SCR_Height', 'max_SCR_RiseTime',
       'min_SCR_Recovery', 'max_SCR_Recovery'],
      dtype='object')",31,0.7305699481865285,0.723404255319149,0.7555555555555555,0.6938775510204082,"[[73, 22], [30, 68]]","[0.7239712493749031, 0.45716013674274936, 0.6793937965548109, 0.31753449327633854, 0.914118913726598, 0.6814088366456144, 0.5916493339676039, 0.25454768508722475, 0.29183292989620013, 0.3124826450214543, 0.5221617194943096, 0.34554660585168423, 0.4467484321203111, 0.3800745021549272, 0.3243364132576946, 0.6771188819399551, 0.7109736978762411, 0.2615930094427964, 0.6468651996932434, 0.4561281983496685, 0.4715136605133456, 0.168138414618653, 0.5255280250651575, 0.586792840762313, 0.5395595990369594, 0.4783595277125818, 0.4601530093252767, -0.039793208404130254, 0.630700605435908, 0.37189357838552906, 0.5193498227942626, 0.3717570053291084, 0.44605217325189606, 0.5243652733769767, 0.3393130965797457, 0.5340933833379714, 0.23127409145285333, 0.4215014266943307, 0.5568869098149009, -0.09985005370080313, 0.6234738592830182, 0.6203627621511217, 0.6422998939289276, 0.5608737952910271, 0.41222671748153294, 0.6808628167027447, 0.2660655044330811, 0.4707725575679622, 0.3506059818031312, 0.11822561970199932, 0.32156003105406344, 0.4375305782621203, 0.2988824852327099, 0.14386817471222174, 0.29258543966828804, 0.28481792914225107, 0.5972138591103454, 0.3163351236319941, 0.2982163983690061, 0.4284730935299173, 0.5295078925224868, 0.7030488005544125, 0.5156604835432848, -0.02595694230369125, 0.7393120909895562, 0.14721879929854775, 0.601926618056522, 0.6202136443810906, 0.19363340216595148, 0.11126137659176127, 0.3774894315501533, 0.2351425041724293, 0.6188849378560182, 0.5434769091449201, 0.6679259183632219, 0.45331365346217123, 0.2534209239495383, 0.5357152157085612, 0.29359058826657425, 0.649967218176802, 0.8630662911710053, 0.7140285610472623, 0.7682937288245721, 0.6018388763973971, 0.5937127084483134, 0.8134940660527598, 0.07835349326438898, 0.6886551636650164, 0.4432921790058404, 0.6365491841857084, 0.464017827709753, 0.427013848084557, 0.4705031074085098, 0.3398340799606919, 0.4332486208174493, 0.6201891883781712, 0.2152665292133188, 0.5537639436906643, 0.4199515463723183, 0.7833378650738436, 0.8350992411204433, 0.7099861125425716, 0.14392695602017141, 0.3752767515622075, 0.7334085760207932, 0.7383348826294865, 0.2719011601938638, 0.4933936727736322, 0.4078538541334793, -0.1793388304957263, 0.32409767532689215, 0.3602272437099599, 0.4857050743582519, 0.7384718831182967, 0.5068689700127925, 0.604633963456546, 0.4489301748154025, 0.6858861839385108, 0.5711811594818377, 0.8360506802330622, 0.48608003660582283, 0.603252430733758, 0.6663013074723814, 0.38012864114154965, 0.38604383355856015, 0.5871027212710485, 0.7359363338427499, 0.6446554101944731, 0.6499968412508149, 0.38182061250383476, 0.4674489798010889, 0.395295230319338, 0.1656557178714873, 0.49090601916897275, 0.39376601340524514, 0.3246491568913322, 0.28997054717085896, 0.2707323719186635, 0.7158750517054814, 0.4930882012743243, 0.677485623600924, 0.6093729946692433, 0.7508941268390642, 0.41436462419375103, 0.5560906148489213, 0.5206671665764193, -0.2454523964268187, 0.3712320110125881, 0.3379626720496079, 0.8429082978053892, 0.4523464122472819, 0.6121792484016291, 0.33905034950864554, 0.4361937374782207, 0.3355779454484121, 0.8959922702887108, -1.0033321187463478, 0.25195676784655874, -0.2019097658824851, 0.28355123422425743, 1.0404061723175442, 0.5327774580784073, 0.3032884492740597, 0.39558051394289273, 0.4719651849338996, 0.7019649320915347, 0.6756371379739433, 0.687563308533616, 0.5540552556205092, 0.13445856382185556, 0.6059919793996701, 0.574726879559409, 0.23336851118186785, 0.16751643096308416, 0.15260021632795112, 0.3846018076433557, 0.5254722334942679, 0.5726429102671572, 0.5740522830961431, 0.5105729210924863, 0.258744126709812, 0.3047723353620988, 0.23173208256619754, 0.2488285652301561, 0.5356535044941322, 0.7837588208768488, 0.3446870001997324, -0.4282029697325538, 0.3956476889756869, 0.5110346351227925, 0.3526628559726616, 0.3712771651988644, -0.2017487730019938]"
