Model,Best Column,Shape,Accuracy,F1 Score,Precision,Recall,Confusion Matrix,Y Probs
SVM,"Index(['temp_skew', 'temp_kurtosis', 'temp_qdev', 'temp_max-min', 'hr_q75',
       'hr_qdev', 'hr_max-min', 'gsr_std', 'gsr_skew', 'gsr_kurtosis',
       'gsr_diff', 'gsr_max-min', 'rr_skew', 'rr_diff2', 'rr_q25', 'HRV_IQRNN',
       'HRV_pNN20', 'HRV_HTI', 'HRV_SD2', 'HRV_SD1SD2', 'HRV_CSI', 'HRV_PSS',
       'HRV_SI', 'HRV_AI', 'HRV_PI', 'HRV_C1d', 'HRV_SD1d', 'HRV_SD1a',
       'HRV_C2d', 'HRV_C2a', 'HRV_SD2d', 'HRV_SD2a', 'HRV_Cd', 'HRV_Ca',
       'HRV_SDNNd', 'HRV_SDNNa', 'HRV_ApEn', 'max_SCR_Onsets',
       'mean_SCR_Onsets', 'max_SCR_Peaks', 'min_SCR_Height', 'max_SCR_Height',
       'mean_SCR_Height', 'max_SCR_Amplitude', 'mean_SCR_Amplitude',
       'min_SCR_RiseTime', 'max_SCR_RiseTime', 'mean_SCR_RiseTime',
       'max_SCR_Recovery', 'mean_SCR_Recovery', 'max_SCR_RecoveryTime',
       'mean_SCR_RecoveryTime'],
      dtype='object')",52,0.6787564766839378,0.6630434782608696,0.7093023255813954,0.6224489795918368,"[[70, 25], [37, 61]]","[0.5735629532223775, 0.2447289787591987, 0.5621476016164618, 0.34019388296171765, 0.7341644011853317, 0.6421990490418822, 0.3626435382404662, 0.26849830171171535, 0.2730537110535459, 0.20428306807682356, 0.39556058142601436, 0.21622702563207877, 0.24661830940028737, 0.4009228464527694, 0.3318662619628839, 0.4521448751815791, 0.488586764214957, 0.23710791887173732, 0.3946127350473927, 0.41268235807645626, 0.3086158424918624, 0.12993835178452265, 0.494107550893917, 0.6023930125843356, 0.3403930275112385, 0.3969412255766632, 0.13102480160718954, 0.08188348308093944, 0.4089744555993301, 0.4354396661473331, 0.4043672869295041, 0.4677701655122253, 0.4523227714355075, 0.36349718701045336, 0.3840884864966089, 0.2434835778031519, 0.1167569255604821, 0.42022688641369965, 0.3520704882751489, 0.18310704251166587, 0.5843005484831055, 0.6393678294353067, 0.44176866770949064, 0.5368036658215881, 0.5412553718904151, 0.6441936688162626, 0.2088914827421424, 0.36832146448715386, 0.32160709707456603, 0.30924775195949034, 0.5334549960769966, 0.4222716357306012, 0.3043231868186359, 0.05583260279564863, 0.2629184366874684, 0.28833999974473223, 0.6735891595943402, 0.21292801093968539, 0.2948052779759056, 0.3567719643300066, 0.48947324864551245, 0.6888860635784372, 0.5, 0.10389953881081532, 0.4120659018497469, 0.11456419691235592, 0.5731008657623873, 0.6129234080431647, 0.2904258963006171, 0.21047671442774105, 0.2731688142182349, 0.2596628574174012, 0.5574965083603012, 0.43331374388574473, 0.6170404541405644, 0.3760617982049498, 0.2657235280192135, 0.6766706771778692, 0.4532601902267411, 0.7123272590062242, 0.8166889779899772, 0.7935244635462273, 0.783034698031764, 0.8071298385119279, 0.4617119402088352, 0.6552367224678058, 0.11706242056836508, 0.7741681880564036, 0.5, 0.7744938475065262, 0.4477854892235349, 0.4862210215339321, 0.28598685677539026, 0.2699534259919323, 0.3423462236735943, 0.4387620662886582, 0.28301753376261, 0.5527715265152217, 0.36782032718644414, 0.7787105765912471, 0.6006175951569387, 0.6945434042923557, 0.13170337800020157, 0.2825772237179226, 0.6897271566496109, 0.6634079789247477, 0.43751697165663306, 0.45873890090900465, 0.37891496732147956, 0.1231367409100557, 0.23305276036284567, 0.3699661288299485, 0.4246888582080744, 0.6537795024830477, 0.6696359552018313, 0.6795206909837275, 0.5153254850609063, 0.7285421460121678, 0.7004208648991951, 0.8046273234452573, 0.7496978285224026, 0.7645435950154551, 0.7839560440757268, 0.7055059372706132, 0.7521029628924509, 0.7652885067450926, 0.8003860963895371, 0.7507109939463146, 0.7256005853997985, 0.6454017961059686, 0.7489364420380517, 0.5674560473025475, 0.3347729031832897, 0.4032906386940823, 0.3163806379124734, 0.5893272863306444, 0.6597703947396512, 0.44476973673619896, 0.7919889108811394, 0.5951377247434174, 0.6281336076958335, 0.5822315005928537, 0.7863916136535886, 0.537669217140125, 0.662390698082192, 0.7110141481070497, 0.4893538201916108, 0.67736190641307, 0.4833955713427902, 0.6677878200447621, 0.4226729269872914, 0.48704634814749076, 0.441504421780939, 0.5679908726898658, 0.5783240082599078, 0.6188960511012535, 0.004344068464162, 0.4907522374801734, 0.09348229126642661, 0.4103850508597668, 0.6399168713309106, 0.5413011636623928, 0.15742224636569505, 0.3564750111110896, 0.40487827782364405, 0.5930246106414546, 0.5260052924403772, 0.5516095768610288, 0.5950109432316107, 0.22211717158527297, 0.4837109894096671, 0.5292785321221888, 0.34121702594467196, 0.18543830315632204, 0.3699888849491989, 0.21759667497742538, 0.41539699815559417, 0.5594953766408365, 0.5057114987022986, 0.4249293511705985, 0.24924878436375755, 0.33924195394067186, 0.23399353755913155, 0.263659672583642, 0.5056328022740298, 0.8044141622822449, 0.39577203925346804, 0.1298478112448183, 0.39185166071959354, 0.392795512516183, 0.6006267142701517, 0.4064486298370201, 0.1523996299800511]"
XGB,"Index(['temp_mean', 'temp_std', 'temp_skew', 'temp_kurtosis', 'temp_diff',
       'temp_max-min', 'hr_mean', 'hr_std', 'hr_skew', 'hr_kurtosis',
       'hr_diff', 'hr_diff2', 'hr_q25', 'hr_q75', 'hr_qdev', 'hr_max-min',
       'gsr_std', 'gsr_skew', 'gsr_kurtosis', 'gsr_diff', 'gsr_diff2',
       'gsr_q25', 'gsr_qdev', 'gsr_max-min', 'rr_mean', 'rr_skew',
       'rr_kurtosis', 'rr_diff', 'rr_diff2', 'rr_q25', 'rr_qdev', 'rr_max-min',
       'HRV_MeanNN', 'HRV_SDNN', 'HRV_RMSSD', 'HRV_CVSD', 'HRV_MedianNN',
       'HRV_MadNN', 'HRV_MCVNN', 'HRV_pNN20', 'HRV_TINN', 'HRV_HFn',
       'HRV_LnHF', 'HRV_CSI', 'HRV_CVI', 'HRV_CSI_Modified', 'HRV_PIP',
       'HRV_IALS', 'HRV_PSS', 'HRV_PAS', 'HRV_GI', 'HRV_SI', 'HRV_AI',
       'HRV_PI', 'HRV_C1d', 'HRV_C1a', 'HRV_SD1d', 'HRV_SD1a', 'HRV_C2d',
       'HRV_C2a', 'HRV_SD2d', 'HRV_SD2a', 'HRV_Cd', 'HRV_SDNNd', 'HRV_SDNNa',
       'HRV_ApEn', 'min_SCR_Onsets', 'max_SCR_Onsets', 'mean_SCR_Onsets',
       'min_SCR_Peaks', 'max_SCR_Peaks', 'mean_SCR_Peaks', 'min_SCR_Height',
       'max_SCR_Height', 'mean_SCR_Height', 'min_SCR_Amplitude',
       'max_SCR_Amplitude', 'mean_SCR_Amplitude', 'min_SCR_RiseTime',
       'max_SCR_RiseTime', 'mean_SCR_RiseTime', 'min_SCR_Recovery',
       'max_SCR_Recovery', 'mean_SCR_Recovery', 'mean_SCR_RecoveryTime'],
      dtype='object')",85,0.7098445595854922,0.7052631578947369,0.7282608695652174,0.6836734693877551,"[[70, 25], [31, 67]]","[0.6563276648521423, 0.040398143231868744, 0.43893495202064514, 0.4106408655643463, 0.9585391879081726, 0.8966549634933472, 0.7261512875556946, 0.3360874652862549, 0.37407225370407104, 0.818162202835083, 0.8905669450759888, 0.16990351676940918, 0.3799324631690979, 0.4720621109008789, 0.11420410871505737, 0.7825157046318054, 0.5576828718185425, 0.060709841549396515, 0.5787094831466675, 0.6523648500442505, 0.199140727519989, 0.1795487105846405, 0.9632149338722229, 0.7831758260726929, 0.5581321120262146, 0.21418572962284088, 0.17063529789447784, 0.6335227489471436, 0.7048746943473816, 0.47265419363975525, 0.6445960402488708, 0.9287393689155579, 0.19868464767932892, 0.8055932521820068, 0.5089695453643799, 0.535346508026123, 0.034505054354667664, 0.228584885597229, 0.5084763169288635, 0.06293533742427826, 0.6585766077041626, 0.6729147434234619, 0.4130440652370453, 0.9218726754188538, 0.837447464466095, 0.9866073131561279, 0.06339830160140991, 0.28697794675827026, 0.11590752750635147, 0.10317553579807281, 0.5943295359611511, 0.8127666115760803, 0.5415740013122559, 0.01355066429823637, 0.06463881582021713, 0.10861320793628693, 0.7027183175086975, 0.0924273207783699, 0.043821144849061966, 0.17543476819992065, 0.4468671381473541, 0.7160608172416687, 0.5493482351303101, 0.0791124776005745, 0.378937304019928, 0.17594413459300995, 0.8831042051315308, 0.8562645316123962, 0.010856571607291698, 0.03204059600830078, 0.16723808646202087, 0.05111798644065857, 0.5332474708557129, 0.16073328256607056, 0.7853900194168091, 0.16421917080879211, 0.019027099013328552, 0.9509348273277283, 0.1249847412109375, 0.9163264632225037, 0.9765724539756775, 0.9504809975624084, 0.9251082539558411, 0.9616230130195618, 0.11087489128112793, 0.9372835159301758, 0.10978655517101288, 0.8202452659606934, 0.570216953754425, 0.9858608245849609, 0.2098352015018463, 0.010483881458640099, 0.2703644037246704, 0.47481682896614075, 0.2827380299568176, 0.22480346262454987, 0.1490929126739502, 0.4754911959171295, 0.34591495990753174, 0.983979344367981, 0.283420205116272, 0.6581266522407532, 0.017791369929909706, 0.09143422544002533, 0.9250699281692505, 0.9176689982414246, 0.17213505506515503, 0.38522568345069885, 0.10512455552816391, 0.06613902002573013, 0.0467793308198452, 0.31320181488990784, 0.2959475517272949, 0.762003481388092, 0.9209265112876892, 0.9609465599060059, 0.09102097153663635, 0.9195623993873596, 0.9053082466125488, 0.9916551113128662, 0.8415625691413879, 0.7131053805351257, 0.6710275411605835, 0.9317076206207275, 0.35980096459388733, 0.8044580221176147, 0.6787508726119995, 0.7530564665794373, 0.9188787937164307, 0.9090434312820435, 0.7933943271636963, 0.040324196219444275, 0.14547418057918549, 0.34251999855041504, 0.06534714996814728, 0.38944482803344727, 0.23856891691684723, 0.03639504685997963, 0.5281918048858643, 0.6913772225379944, 0.7497465014457703, 0.11801942437887192, 0.847537636756897, 0.42567765712738037, 0.885671854019165, 0.7428363561630249, 0.7414754629135132, 0.46395063400268555, 0.1303364336490631, 0.7183122038841248, 0.6266215443611145, 0.5550345778465271, 0.17996594309806824, 0.24885177612304688, 0.03000692091882229, 0.611695408821106, 0.15061335265636444, 0.848914384841919, 0.39775487780570984, 0.4028368890285492, 0.5253074765205383, 0.43391939997673035, 0.036899007856845856, 0.2736106216907501, 0.37668362259864807, 0.47520652413368225, 0.538805365562439, 0.5732556581497192, 0.4812264144420624, 0.13017137348651886, 0.4016987085342407, 0.5093687772750854, 0.2506040036678314, 0.07941216975450516, 0.18987007439136505, 0.1876918226480484, 0.523219645023346, 0.5703530311584473, 0.7868751883506775, 0.6203041672706604, 0.14089077711105347, 0.2879965901374817, 0.1860736608505249, 0.04621410369873047, 0.5188401937484741, 0.9429666996002197, 0.6467235088348389, 0.38825392723083496, 0.5792776942253113, 0.5660688877105713, 0.9455718994140625, 0.2768031060695648, 0.09452290832996368]"
LR,"Index(['temp_diff', 'temp_qdev', 'hr_skew', 'gsr_max-min', 'rr_mean',
       'HRV_CVI', 'HRV_PIP', 'HRV_PSS', 'HRV_C1d', 'mean_SCR_RiseTime',
       'mean_SCR_Recovery'],
      dtype='object')",11,0.7098445595854922,0.7171717171717172,0.71,0.7244897959183674,"[[66, 29], [27, 71]]","[0.56393212797067, 0.4742604957547067, 0.6706395085462343, 0.4207773548245914, 0.6952360954856611, 0.5414369557089873, 0.5258697813087901, 0.4740802696432002, 0.40309752174713087, 0.2695015454867999, 0.32894077062272525, 0.40632487197680606, 0.4434340049485068, 0.47228626636611737, 0.559014347146834, 0.55217490992816, 0.609599051750663, 0.44484759419477554, 0.626004300043662, 0.4064585988361705, 0.5739439200271091, 0.38240788023189404, 0.3984441487725455, 0.5213550894492828, 0.5052475641729781, 0.5568085032390472, 0.41638019851209407, 0.35182692434343826, 0.5276316097935605, 0.47990998736971285, 0.4932674476188766, 0.4628262065400659, 0.4854053405906042, 0.4195741375089659, 0.46610581357905373, 0.5196463505658647, 0.4548906738767161, 0.4874737947539895, 0.6072931574797953, 0.4603138189167681, 0.4792194226422322, 0.517345327497813, 0.5025005894140395, 0.5875105795586355, 0.5200067373488849, 0.5903540717036505, 0.4093797057880108, 0.38796283008087273, 0.4953366517933956, 0.35099082581737073, 0.4692538967039141, 0.5234821986551546, 0.36341682877597997, 0.23837991916951246, 0.39999717888509206, 0.35942117072375235, 0.5822712129122146, 0.3409972443286366, 0.4710103563370448, 0.42620088501463493, 0.5058979993798314, 0.6497308639959899, 0.5427176007784701, 0.29498889321122473, 0.46478646017646025, 0.22000643706552014, 0.514644578718828, 0.5661506112681112, 0.3593171227060167, 0.28381319462724836, 0.46940685566685664, 0.3799424086848873, 0.5614857279975436, 0.4174126560609448, 0.5093156860531929, 0.43124609370626166, 0.38633692636884426, 0.5840042731595725, 0.472147284130925, 0.6615749497588955, 0.6963422105684475, 0.6923278448326856, 0.6000500189334272, 0.5847282758641259, 0.4439698729670364, 0.5436233802979514, 0.3561733621794141, 0.7078787610840152, 0.43081881385075327, 0.5413661716014607, 0.4889898523394251, 0.5280839955333466, 0.3930152970648515, 0.46377728707724236, 0.5964426978640812, 0.510792311401888, 0.44038699667091263, 0.5622288820185543, 0.4411186205632796, 0.6711712994614923, 0.44356698392985733, 0.6062541881074984, 0.32936113689054175, 0.4592370434456464, 0.6401623121636796, 0.6386897434143455, 0.531776937292397, 0.5287937409250969, 0.523226168707855, 0.3711908464999672, 0.44317833525124967, 0.47507409420685, 0.45335829806037764, 0.599957597775838, 0.5669078307721193, 0.6069722454303099, 0.5485267057521966, 0.4769366060798888, 0.5222745483462092, 0.6430136010130472, 0.5785153688355, 0.5975145429030013, 0.6515422148831297, 0.5298760252326604, 0.61211280448694, 0.5942999991085429, 0.6328316635422596, 0.620631876314646, 0.6119844602128811, 0.5375974203274136, 0.580976635607586, 0.41759238888382827, 0.46633449352238365, 0.5156817615240744, 0.2320241626822888, 0.47739469594967104, 0.526052049515833, 0.47784782864225817, 0.6077352318174745, 0.5839900117086184, 0.6483071539527219, 0.4123898941650004, 0.6428293261168995, 0.5763541250142374, 0.5750878349163154, 0.6517878367843234, 0.6079907904108913, 0.5642945791505453, 0.45573804055231304, 0.4894018552058057, 0.3806023638594202, 0.5126573014157177, 0.576180572578268, 0.4710403478539463, 0.4796299811856509, 0.7981460630901118, 0.08874224085475127, 0.660603143441832, 0.26381020465527893, 0.566552394201462, 0.855244231585713, 0.8426793717291302, 0.4458213737942813, 0.5158765874938558, 0.4716493842955098, 0.8112117556837208, 0.8549452299465369, 0.8319880942566854, 0.5773428896349871, 0.4459247310223042, 0.5525797128173525, 0.8267803909096697, 0.8443378358700021, 0.27987352074037375, 0.86115180602043, 0.3544273777537176, 0.44159886858349656, 0.8759500046518951, 0.8152600015895826, 0.42630211265625845, 0.4725357852972777, 0.784817482378423, 0.36330554655498787, 0.4349022823716599, 0.8562474247653619, 0.693948422443876, 0.3417345344769769, 0.1760586772456204, 0.30924090612472294, 0.5386376084766953, 0.4693245310212484, 0.48210940658631857, 0.2506209654172933]"
RF,"Index(['temp_std', 'temp_skew', 'gsr_q75', 'rr_diff2', 'HRV_RMSSD', 'HRV_CVNN',
       'HRV_MedianNN', 'HRV_HFn', 'HRV_CSI_Modified', 'HRV_IALS', 'HRV_PAS',
       'HRV_GI', 'HRV_AI', 'HRV_Cd', 'min_SCR_Onsets', 'mean_SCR_Peaks',
       'max_SCR_Height', 'min_SCR_Recovery', 'max_SCR_Recovery',
       'mean_SCR_Recovery', 'max_SCR_RecoveryTime'],
      dtype='object')",21,0.7564766839378239,0.7638190954773869,0.7524752475247525,0.7755102040816326,"[[70, 25], [22, 76]]","[0.5474232007995911, 0.44690893520352093, 0.6198284801511394, 0.4890079262158261, 0.6586513954544645, 0.5502694483226767, 0.5782066377016736, 0.4159409476246694, 0.3898976688762681, 0.41905024362633403, 0.3455334472942293, 0.41930020065855594, 0.3518678541146133, 0.27656424462825796, 0.46897619284551145, 0.6248492954728538, 0.5420144413546805, 0.590193199745169, 0.5590168792247203, 0.3566228191209248, 0.46385560907456846, 0.4370985827908182, 0.32526475710505537, 0.6002202656800355, 0.5271652904474512, 0.6068343714228353, 0.38128241578344435, 0.4849319382608688, 0.3616481667897271, 0.4319632874353776, 0.511427015969138, 0.5237730502533722, 0.305332646044915, 0.4655319300327696, 0.563372393715675, 0.5770353502778149, 0.5171135270059943, 0.41063032083614026, 0.47291803409155847, 0.46763880876748515, 0.42502037385106345, 0.552584655094641, 0.33873415206108365, 0.6854617802972944, 0.6751716073882507, 0.6161227648995762, 0.2812129317653447, 0.4227729094857254, 0.44252844573304484, 0.5312258589759176, 0.6087150088751011, 0.5560061174280125, 0.4086205414341304, 0.30951833359145475, 0.3967225799533175, 0.3992947996598892, 0.5723804704244858, 0.2382469560798217, 0.2737545009201913, 0.34024723543250784, 0.6233859406189023, 0.5665298535057006, 0.5415756511809876, 0.3825888471778566, 0.35522008561169716, 0.4680616392623725, 0.6529626170970624, 0.7175477571197845, 0.37083572157183925, 0.20731481675704516, 0.3994917042325033, 0.3231494539303225, 0.5455004836463846, 0.30525674227031613, 0.7570576429836495, 0.34092150025638446, 0.16616805658014208, 0.6724823912470972, 0.4355494532961207, 0.8178773125246388, 0.7705943406624048, 0.7877966611616685, 0.8033213302234201, 0.7726988533248891, 0.4293369794448865, 0.49457823934878065, 0.4134948222016221, 0.6908590351920791, 0.5303712514785803, 0.6514486545644658, 0.6868628213864312, 0.41329914892045294, 0.3455519085201732, 0.4677517857748908, 0.43243863359713997, 0.5201280757922001, 0.42738074650895375, 0.6851900696829251, 0.35992699861508093, 0.8385214748764802, 0.605900239545426, 0.5420244038026067, 0.28372113168144675, 0.36611720425605454, 0.8019703305789634, 0.6935051860124829, 0.3760179528948185, 0.57556733564073, 0.48396764431377554, 0.387118949841117, 0.24426231042018468, 0.31908937538004845, 0.5458855040022815, 0.5899288884991291, 0.6121750985191123, 0.7151410743652479, 0.31997239239753256, 0.7347984996799694, 0.6789935029567382, 0.8132239325440858, 0.7005838312977237, 0.6642941883824237, 0.6910773194009481, 0.7037363559091635, 0.6235149478657545, 0.6782056383159324, 0.6163931446974923, 0.7322089579149397, 0.8036069709064133, 0.7578456099015417, 0.7280738827467117, 0.42289032822100114, 0.44129488333729255, 0.3812976324239216, 0.23478640473672485, 0.7123452470979653, 0.47240836587479257, 0.373861453880827, 0.7774035166413068, 0.7031129258697909, 0.7290154110407662, 0.5277310945592174, 0.6651650537097584, 0.6820942335206239, 0.8393472083190643, 0.6328401699063464, 0.6838860972811275, 0.6292404479303004, 0.41010405944951456, 0.3782356264535046, 0.5814687308851372, 0.5728154213394512, 0.5648431530372704, 0.4069780854799455, 0.49036638920387643, 0.7306609466241819, 0.3740949954841011, 0.5165050364805699, 0.41055754323113014, 0.4436617914772239, 0.6412682097314448, 0.6940347441229793, 0.4240279992155149, 0.4588384170150046, 0.4407175457576279, 0.7938158287790642, 0.797344030969031, 0.7193551587301587, 0.5816570023395318, 0.39589689473873524, 0.48131179085895753, 0.7203102972735326, 0.7185274725274723, 0.35033626245368377, 0.7310340862840861, 0.35191327863693816, 0.4474152333475817, 0.7555153283535636, 0.7103310404192755, 0.4854738860446892, 0.4846746197608267, 0.7156742979242979, 0.3271728162996355, 0.43596987729741843, 0.7664423400673399, 0.7763222703222703, 0.38692480623622755, 0.5177322746146188, 0.40547808283300507, 0.5264032757641004, 0.5267717005419825, 0.4635817981363121, 0.3942357266797095]"
