Model,Best Column,Shape,Accuracy,F1 Score,Precision,Recall,Confusion Matrix,Y Probs
E7GB,"Index(['temp_kurtosis', 'hr_mean', 'hr_q75', 'hr_max-min', 'gsr_diff',
       'gsr_q75', 'rr_mean', 'rr_std', 'rr_qdev'],
      dtype='object')",9,0.6787564766839378,0.6025641025641025,0.8103448275862069,0.4795918367346938,"[[84, 11], [51, 47]]","[0.5836167870510542, 0.25279278995674137, 0.5017817025883192, 0.4036493919757288, 0.6155614483922143, 0.6202503771322054, 0.44836529561338073, 0.411001433832609, 0.30945435900138796, 0.36479051126348594, 0.5423818168583603, 0.3872658565816325, 0.295221065505934, 0.34506718625945454, 0.3359518040725954, 0.5838515376894216, 0.5010163777086747, 0.36785985329877324, 0.3773486314874503, 0.4326075034084874, 0.37745699676344885, 0.27605731493162067, 0.3284948974933396, 0.43768697884877594, 0.40625224391032344, 0.36083843105677277, 0.30220983525096845, 0.3396184753085453, 0.38180837417368324, 0.5679111626833153, 0.5001489845103537, 0.6012476451838042, 0.2636604942834624, 0.4061268637773621, 0.38561147257657125, 0.3732404958018801, 0.41088985466798333, 0.4103959870099301, 0.5096584140015381, 0.2664754769556892, 0.46323581571395067, 0.5877957974821579, 0.47285237852519657, 0.40493854869745266, 0.39498325658170796, 0.6203043280509042, 0.32709629849649335, 0.3057423074650898, 0.30909692052854043, 0.3930738406130223, 0.587025420866276, 0.5145852258947596, 0.4051255237841031, 0.25242286140047043, 0.3844382548629191, 0.4029160859208122, 0.5904235052721405, 0.3255711391477102, 0.2682284448026193, 0.39211931903646763, 0.4983086887806075, 0.38891945509308673, 0.38743249076691344, 0.25301864214633546, 0.2870494999153601, 0.3288080108241236, 0.4790876823417132, 0.4745375008720278, 0.331184189021433, 0.2600576462408106, 0.32158591455775815, 0.2719827688739416, 0.5449208079064023, 0.3370122798136549, 0.556735074678809, 0.3506556330219625, 0.2568632907797523, 0.5707037231418004, 0.2578658090871343, 0.5698564092280632, 0.6194876959242586, 0.5323965599215006, 0.5323965599215006, 0.4582649710487523, 0.29420610449868045, 0.43908345053954967, 0.2547624289287491, 0.5034937634998238, 0.36350757464397415, 0.5353434857871466, 0.33541814512187074, 0.2532382213401683, 0.2594892564291621, 0.29800363194082524, 0.377200163480116, 0.522626451785722, 0.2670233229037986, 0.4791787719206163, 0.2774560706780545, 0.5337517648185097, 0.369965147747383, 0.5091363211393638, 0.25456608747428044, 0.2832986323406768, 0.5584945763577025, 0.5519022091847906, 0.2634515874174044, 0.2867550491626929, 0.37874918084604087, 0.2691852794273192, 0.2848203464726875, 0.2771158046247484, 0.3299442988943402, 0.5963746183302222, 0.452445982312877, 0.5886429661223384, 0.440066115734598, 0.498477813725415, 0.5814759888280465, 0.5732067940082899, 0.5315250810881414, 0.5345900050850017, 0.5270795355376656, 0.4978055454947924, 0.46221939042649496, 0.5328580836494052, 0.5312649251325723, 0.5659853834200307, 0.5582462982586178, 0.5389117377554323, 0.576938357289347, 0.4597923934265289, 0.334741922559355, 0.38969680346931473, 0.3230226119192129, 0.37629584192555227, 0.35916375303149717, 0.3531660532032582, 0.5256700122711595, 0.47586055113954984, 0.4544184433096797, 0.3182177355906479, 0.39618115832864403, 0.46386271076440555, 0.5716659576893008, 0.5585221126210269, 0.471607925850822, 0.5661056971432348, 0.3779259271192851, 0.44454503862751504, 0.40213101318718236, 0.5036141400122252, 0.39066686921360433, 0.3931292667652452, 0.29235831650757704, 0.5583409691481109, 0.3293780462972554, 0.46550265610727115, 0.4026401194766194, 0.4062817292659942, 0.5658417610960707, 0.5217683014490913, 0.36634395419350135, 0.40188678449920034, 0.47357053184705844, 0.5366779035358857, 0.5460091691133474, 0.5366110361518754, 0.4957657920828395, 0.35696082585582634, 0.4915591044688111, 0.4401538710182409, 0.4446849265026236, 0.37840423469889495, 0.34996354301723387, 0.46710253593043255, 0.4441647210824233, 0.5369522706036478, 0.5221051597101671, 0.43272582523730674, 0.393314235182907, 0.35477745329964605, 0.4271404817716924, 0.3617835465087641, 0.5351802900756115, 0.5183137174998592, 0.4997679293247844, 0.4956779003101111, 0.4363101820341976, 0.4619296654574129, 0.44880917650873003, 0.480583250243659, 0.375131373156238]"
WGLR,"Index(['temp_mean', 'temp_kurtosis', 'temp_q75', 'temp_qdev', 'gsr_mean',
       'gsr_std', 'gsr_diff', 'gsr_q75', 'rr_mean', 'rr_diff2', 'rr_max-min'],
      dtype='object')",11,0.7150259067357513,0.7150259067357513,0.7263157894736842,0.7040816326530612,"[[69, 26], [29, 69]]","[0.652653443056711, 0.4919346931568503, 0.6105394340407172, 0.5570634340241953, 0.7988881964675625, 0.7585248708725651, 0.6272875473042737, 0.5418743320203415, 0.5239318033376126, 0.3025945421930769, 0.40978187684409695, 0.46350118723989947, 0.4241735315456825, 0.5286919326978564, 0.532649166997123, 0.678061194532263, 0.604776634727863, 0.4058111929879608, 0.5884986162869694, 0.6180837534178388, 0.4915565419322315, 0.43303792447245415, 0.5675597480903155, 0.6707791062978576, 0.630812754872452, 0.5369739326573909, 0.2819854004388643, 0.3040087041299698, 0.5766002965230422, 0.639331910499309, 0.6452920581387692, 0.6106679319476018, 0.5584281572944407, 0.6072066331897134, 0.46616977935937554, 0.500312691697236, 0.3543828731694729, 0.514205529268335, 0.5648200331529463, 0.3846864330196437, 0.5006203311284019, 0.6023352973969206, 0.5461575246772118, 0.6419925260011796, 0.5754293618847924, 0.6985232124701262, 0.5106351257437834, 0.497998113354133, 0.551607894789792, 0.31400819786067136, 0.5970821036734322, 0.5917733231515621, 0.4299013980520972, -0.09367602625279126, 0.4287855341890617, 0.4757110616698657, 0.6918425415322955, 0.34851325600003413, 0.5050788297783442, 0.510113206456319, 0.530444689207478, 0.619513988910797, 0.6390050133448462, 0.1682838232625251, 0.39709077001826737, -0.03049332923804049, 0.5201410985180795, 0.7278679138546597, 0.5062002027539046, 0.37950979476977464, 0.5253419105321058, 0.44007750292812864, 0.6339796632624154, 0.44826442181044346, 0.6523887472088863, 0.47120262072753966, 0.4690884370838775, 0.6752964513549837, 0.5536845317107151, 0.6742924783005678, 0.7048577557118307, 0.7095311703586011, 0.6940324677230222, 0.6285935861531592, 0.40152535022365066, 0.5409510432745112, 0.27711697972926863, 0.7593550185205244, 0.56344931657407, 0.6823291780002607, 0.5400470855907508, 0.5312914934686342, 0.3859924054646631, 0.31584122572126194, 0.5079350307967458, 0.6314697081750442, 0.5062853904727315, 0.6066788470895037, 0.5241324818653457, 0.7048649093159175, 0.5998468127585965, 0.5994082526989009, 0.32205831645891064, 0.450709374742851, 0.6661435095905912, 0.6494033634275881, 0.5409131777567203, 0.6320823239686272, 0.5612736904094038, 0.29166202143435915, 0.42915024202939556, 0.5546973493426852, 0.6169744433387463, 0.6221696206385317, 0.6412390094307818, 0.6213577258761485, 0.46172273283853804, 0.3986876526885691, 0.38274645991215805, 0.6278780193939254, 0.7367142449047329, 0.7166725821271805, 0.731328867537595, 0.6843837604549359, 0.7322119600682293, 0.7391169893713435, 0.7358144726834385, 0.6845252679853766, 0.7447051030430977, 0.7255801155742964, 0.7298723763074144, 0.6420271737211549, 0.6523405968733503, 0.48129812531904076, 0.40231231724915334, 0.5916592425125732, 0.5244797808270858, 0.5004497252260941, 0.6374906629600396, 0.6398994749837894, 0.6532682530408315, 0.5614872801240302, 0.6569219043671702, 0.6450372335455601, 0.7042145200523808, 0.7434616492264619, 0.6595187258732454, 0.681221895155147, 0.5406648716877278, 0.554542919868608, 0.5620931290729433, 0.6278316075029513, 0.6138279163382061, 0.651409341247035, 0.6428791402850829, 0.6367827817156065, -1.348377460195059, 0.39087288573861145, 0.32250467068348176, 0.5854160942526672, 0.6707033507261456, 0.731558944691681, 0.3772953959140285, 0.6328412058194411, 0.5591882214436491, 0.695681298729458, 0.6898355164143684, 0.6929282527539284, 0.6832262050070985, 0.5234601058390511, 0.4563272445243951, 0.7102504898079263, 0.6929399439554219, 0.23181871764054263, 0.48965517674214387, 0.46976585069264043, 0.6390812237246182, 0.8298541109324126, 0.7728982428339022, 0.4974406255835242, 0.5007929005375356, 0.5116078618260117, 0.5115484028465083, 0.5525032329308356, 0.764405500531609, 0.7056713131843022, 0.5202682595983827, -0.3546370049081905, 0.2395908987350711, 0.5336105630634271, 0.6322571334218055, 0.5949038565415307, 0.16523673571642633]"
