Model,Best Column,Shape,Accuracy,F1 Score,Precision,Recall,Confusion Matrix,Y Probs
SVM,"Index(['temp_diff', 'temp_q75', 'temp_qdev', 'temp_max-min', 'hr_std',
       'hr_skew', 'hr_diff2', 'hr_q25', 'hr_q75', 'hr_qdev', 'hr_max-min',
       'gsr_mean', 'gsr_std', 'gsr_skew', 'gsr_kurtosis', 'gsr_diff',
       'gsr_diff2', 'gsr_q25', 'gsr_q75', 'gsr_qdev', 'gsr_max-min', 'rr_mean',
       'rr_std', 'rr_skew', 'rr_diff', 'rr_diff2', 'rr_q25', 'rr_q75',
       'rr_qdev', 'rr_max-min'],
      dtype='object')",30,0.7046632124352331,0.721951219512195,0.6915887850467289,0.7551020408163265,"[[62, 33], [24, 74]]","[0.6857149220462011, 0.2230563569561221, 0.5133232890156899, 0.45069897871464165, 0.7297584356667313, 0.6650806253647918, 0.42167686883091127, 0.32775745546301516, 0.37255922234586814, 0.19113219373804477, 0.5, 0.26409978038357007, 0.3357914656768421, 0.4202217660602899, 0.41707404674076903, 0.6165978888168925, 0.5933918272390074, 0.25902306636014155, 0.37638145599257794, 0.5643249467694968, 0.35271464963063, 0.14632716971532952, 0.5145612463045047, 0.4657134129824623, 0.5056782985953046, 0.3098496098811503, 0.13643885892577884, 0.07067355531670517, 0.4779894194779758, 0.6337980115147644, 0.5632006561318037, 0.5295358313068125, 0.40070631538152834, 0.3715487619316159, 0.27882227495175993, 0.2168700153470598, 0.259445102168366, 0.4177248200785753, 0.5534723241976955, 0.31514815174488436, 0.5488693321249041, 0.6257897126414644, 0.5700585691406911, 0.5475574227376651, 0.5161182403032295, 0.6770274128020112, 0.3281452202684628, 0.38700567158465937, 0.40812425173077904, 0.3133460282292135, 0.5280487807696169, 0.46691743365821897, 0.3462796562043383, 0.06119758540227121, 0.3842472864315171, 0.3605798424316523, 0.6264717497415221, 0.32754795472508313, 0.3528109646561366, 0.4248767395014806, 0.42718668145603567, 0.6096141251757137, 0.5104347173281125, 0.1016338551781468, 0.39102442543928767, 0.18483047208236864, 0.49303018336646565, 0.5865378021404984, 0.40052139719378044, 0.3189123655528807, 0.36840007169482036, 0.37008624626001857, 0.5776499661439225, 0.39655678021155927, 0.6567485144128197, 0.3979335728803554, 0.28780666220320844, 0.6752013755777769, 0.3746699945759492, 0.666239408435637, 0.6892976276751154, 0.7256900440760188, 0.7197737382312392, 0.5816661606666115, 0.44533658306717233, 0.6297698471030411, 0.1846997217093789, 0.6999693272098202, 0.549731005943301, 0.6994284573017907, 0.5673395195602594, 0.4151882206981103, 0.21099869270891664, 0.27310294580416916, 0.4747906787838236, 0.6009457477849414, 0.4224443080499069, 0.5267756508430608, 0.4313390752950674, 0.6949094401689025, 0.5524857589995431, 0.5394626861218141, 0.15541344312879787, 0.3453267973885281, 0.6259219023868419, 0.6826671095944319, 0.3729630598910905, 0.5170710128570112, 0.4444635396705429, 0.09666918762430095, 0.42312787842031896, 0.40605919466326146, 0.5517332000805922, 0.6732364716428153, 0.536786378719323, 0.62585173378452, 0.5454447000456346, 0.6277394880883342, 0.6393772931070711, 0.6452310377055864, 0.6228534672100698, 0.6263235137949923, 0.6844996625863049, 0.5132661431908018, 0.5745786065101687, 0.6489714548397374, 0.7183890650985069, 0.6741390195545236, 0.6515301746345473, 0.5132011218638378, 0.612096499094872, 0.5310467031320885, 0.4766213749234359, 0.44484039217087945, 0.3747935931347644, 0.473081664423881, 0.4460961733484049, 0.41857832495267927, 0.6274624161323978, 0.5816272889163916, 0.6752980132234975, 0.45438640477234715, 0.5522256194134447, 0.6040206353441706, 0.623539390168206, 0.66946540108278, 0.42156985077823744, 0.6046716959825487, 0.4343368607619978, 0.6650323994474427, 0.48756089909991257, 0.5780509025823217, 0.5238695575283457, 0.5, 0.5, 0.8304846415139006, 0.0030503959889377967, 0.47566335137116156, 0.17727966176576743, 0.48457116906406117, 0.7478140682571882, 0.6207532690405054, 0.15273041535598336, 0.5, 0.5, 0.7559855087421615, 0.696310592711962, 0.7080984358128534, 0.5361152734874269, 0.20449574902624723, 0.43059801766852984, 0.626006187457805, 0.5987229972054195, 0.14939360040178254, 0.24392223096426852, 0.35458482350099124, 0.5793056012258595, 0.7248039533413505, 0.6578615726105371, 0.3630835037361472, 0.3848490045515194, 0.3753939448299703, 0.312478626796139, 0.392351901698908, 0.6658400901869221, 0.7040776520842938, 0.445021173105155, 0.06996018892364866, 0.3568597464118816, 0.40676589269012303, 0.5624166020341301, 0.47249924605523946, 0.09379556355598588]"
XGB,"Index(['temp_diff', 'hr_mean', 'hr_diff', 'hr_q75', 'hr_qdev', 'gsr_mean',
       'gsr_std', 'gsr_skew', 'gsr_kurtosis', 'gsr_q75', 'gsr_qdev',
       'gsr_max-min', 'rr_mean', 'rr_kurtosis', 'rr_diff2', 'rr_q25',
       'rr_qdev', 'rr_max-min'],
      dtype='object')",18,0.7357512953367875,0.7411167512690355,0.7373737373737373,0.7448979591836735,"[[69, 26], [25, 73]]","[0.9688996076583862, 0.13164933025836945, 0.7172718644142151, 0.44745299220085144, 0.9762319922447205, 0.6971668601036072, 0.8045894503593445, 0.8789755702018738, 0.09054498374462128, 0.2577579915523529, 0.5129386186599731, 0.13492608070373535, 0.5087737441062927, 0.5018667578697205, 0.2968164384365082, 0.916476845741272, 0.8749738335609436, 0.13126541674137115, 0.3219332695007324, 0.6985105872154236, 0.6363089680671692, 0.046894971281290054, 0.6873144507408142, 0.6801520586013794, 0.6498109102249146, 0.3932359218597412, 0.18285727500915527, 0.5168328881263733, 0.6071277260780334, 0.9294796586036682, 0.9284377694129944, 0.9939635396003723, 0.1069645807147026, 0.4918075501918793, 0.2438502311706543, 0.531091570854187, 0.6060758233070374, 0.6483908891677856, 0.9065210819244385, 0.0524713434278965, 0.10399744659662247, 0.6719908118247986, 0.6824624538421631, 0.9910724759101868, 0.4288335144519806, 0.9364453554153442, 0.024273082613945007, 0.3089897036552429, 0.09092479199171066, 0.023408599197864532, 0.7097062468528748, 0.589485228061676, 0.6186074018478394, 0.011826219037175179, 0.16906598210334778, 0.2637074589729309, 0.7606072425842285, 0.14777417480945587, 0.024775585159659386, 0.19771385192871094, 0.554581880569458, 0.08903650939464569, 0.29898667335510254, 0.14894233644008636, 0.12097980082035065, 0.11213880777359009, 0.30531075596809387, 0.6234776377677917, 0.020501377061009407, 0.007488097529858351, 0.22746542096138, 0.010133055970072746, 0.9490059614181519, 0.49522292613983154, 0.34701618552207947, 0.07676346600055695, 0.024930793792009354, 0.9847481846809387, 0.19060054421424866, 0.951556384563446, 0.8652193546295166, 0.9127967953681946, 0.8671578764915466, 0.8064661622047424, 0.0892203077673912, 0.8467161059379578, 0.08039974421262741, 0.9637795686721802, 0.483830064535141, 0.8976775407791138, 0.22695517539978027, 0.045051459223032, 0.46602311730384827, 0.6226613521575928, 0.0789736807346344, 0.8223553895950317, 0.1637389063835144, 0.21057473123073578, 0.238577738404274, 0.8184205889701843, 0.4937085509300232, 0.7921647429466248, 0.03994854912161827, 0.0624542199075222, 0.9889428615570068, 0.8135764598846436, 0.312630832195282, 0.0991748571395874, 0.1393711417913437, 0.014962553977966309, 0.377169668674469, 0.17634974420070648, 0.5737050771713257, 0.8555208444595337, 0.39743882417678833, 0.9823809862136841, 0.847994863986969, 0.42924201488494873, 0.9769901037216187, 0.9631024599075317, 0.880635678768158, 0.7402928471565247, 0.713219165802002, 0.3617975115776062, 0.46726590394973755, 0.8322558403015137, 0.7862011194229126, 0.8728305101394653, 0.9753716588020325, 0.8957311511039734, 0.781609058380127, 0.3371645510196686, 0.21106937527656555, 0.8737463355064392, 0.16298502683639526, 0.4278999865055084, 0.29939770698547363, 0.15184111893177032, 0.5058198571205139, 0.939883291721344, 0.7969909310340881, 0.16607394814491272, 0.6668738126754761, 0.8892151713371277, 0.9631479978561401, 0.8468798995018005, 0.949248194694519, 0.9473874568939209, 0.03223126381635666, 0.7849201560020447, 0.6413276791572571, 0.8138889670372009, 0.651509165763855, 0.058478742837905884, 0.17793802917003632, 0.8671433925628662, 0.1853010356426239, 0.6430072784423828, 0.12725938856601715, 0.820327877998352, 0.6131301522254944, 0.6022095680236816, 0.11169905215501785, 0.13863569498062134, 0.19252341985702515, 0.8309783935546875, 0.9681881666183472, 0.7905993461608887, 0.08691707253456116, 0.14912718534469604, 0.7311015725135803, 0.8354613780975342, 0.5766748189926147, 0.13448619842529297, 0.37228742241859436, 0.17647810280323029, 0.8191428780555725, 0.9392285346984863, 0.9688183069229126, 0.2019091099500656, 0.18525391817092896, 0.08490478992462158, 0.057796817272901535, 0.19875122606754303, 0.9276348948478699, 0.8300907015800476, 0.1336842030286789, 0.71629399061203, 0.36741381883621216, 0.6067858338356018, 0.9298809170722961, 0.3410472869873047, 0.0825231596827507]"
LR,"Index(['temp_skew', 'temp_q75', 'temp_qdev', 'hr_skew', 'hr_kurtosis',
       'hr_max-min', 'gsr_skew', 'gsr_kurtosis', 'gsr_diff', 'rr_mean',
       'rr_std', 'rr_skew', 'rr_diff', 'rr_diff2', 'rr_q25', 'rr_qdev',
       'rr_max-min'],
      dtype='object')",17,0.7305699481865285,0.7425742574257426,0.7211538461538461,0.7653061224489796,"[[66, 29], [23, 75]]","[0.6599837695122114, 0.19619285784312787, 0.5882307023977869, 0.49229987602820646, 0.7193670190050657, 0.6507732119072471, 0.42998391107552125, 0.3250479572078066, 0.3210768587834018, 0.2148798174520758, 0.5346940139397076, 0.269205923482203, 0.3562835568009027, 0.43636265355944576, 0.49429521169503915, 0.6205431650422389, 0.526377010276091, 0.3270616651982151, 0.43681379811900894, 0.5779410600992049, 0.3410028163136088, 0.1683209164478948, 0.5410825635214822, 0.5378776753990044, 0.513490580667968, 0.31972687416560164, 0.15375280721902296, 0.06982782596841708, 0.465383697156438, 0.616335831296819, 0.5660186376033054, 0.5421873227383692, 0.3950982434095218, 0.3786449823498012, 0.33007543360973873, 0.23987737475484563, 0.1845790266819818, 0.47442276035765496, 0.4599590308698198, 0.512199987927052, 0.5951267032264951, 0.6309279915313637, 0.579855705237317, 0.6219882502399204, 0.5299014787554707, 0.6479287074836506, 0.3381167707820198, 0.3878354716378932, 0.4254385601812115, 0.5755141261043565, 0.6882130252145188, 0.5373989879954297, 0.4758433200142519, 0.12177480834306323, 0.49071887142591714, 0.43919117726430534, 0.7003554439671817, 0.4344162321170301, 0.3532048141985942, 0.44383939668277744, 0.5024678758278597, 0.7083969582756566, 0.5452282102293841, 0.14319951652845164, 0.476826590166108, 0.45012402834800036, 0.5742266357157203, 0.5964892859843337, 0.42913583600938315, 0.4313103752020144, 0.4024263354905984, 0.38140994629486846, 0.631722915833653, 0.45764491477272473, 0.6257716492936684, 0.4261888024890037, 0.3090394985271831, 0.6326797596382594, 0.3679733593568926, 0.6006997663834084, 0.6503560129112675, 0.6783736830867011, 0.6664073491175084, 0.5401897892125731, 0.36189713300162896, 0.5989905994792206, 0.1482578147994938, 0.6749482963092208, 0.5073780643993632, 0.649867276028497, 0.5816172811777979, 0.4177599980663101, 0.2111254701098927, 0.3289506654200376, 0.4503155499310611, 0.5769298168468544, 0.35889093757809815, 0.4654673338641385, 0.38169466858630086, 0.6555715195101743, 0.503299407013097, 0.5198287564975467, 0.12325547488985922, 0.2949972046384979, 0.5772374742720017, 0.6499965611156835, 0.4370183250103925, 0.4787118085646212, 0.3600930561372154, 0.1013397054555298, 0.3661154761851585, 0.380927332602157, 0.5211545886025779, 0.6430633277113973, 0.47731549454961975, 0.5732566611985276, 0.5761105767501036, 0.6802707233781945, 0.6262866773077622, 0.6573258477371755, 0.5884239907819458, 0.6189116407961666, 0.6510454093980249, 0.46017788607125, 0.5443931093698913, 0.6171235737325164, 0.7016307859679561, 0.6537480260911472, 0.6195645348441762, 0.46500047384581467, 0.5683318101237367, 0.5186342276869533, 0.5464493635543405, 0.42258264351349867, 0.43302468223427654, 0.4639007162118409, 0.4612069551911386, 0.49914655069620667, 0.6230574401327865, 0.5131577365373284, 0.5958139179065678, 0.462610169368974, 0.5244531861800424, 0.5183061676322163, 0.587059684494275, 0.6466596864966931, 0.2657605238592085, 0.5873592839210682, 0.41088239012316863, 0.6358590141536559, 0.5143961547082712, 0.5760972464382311, 0.4284892674142055, 0.540192423130644, 0.48115480970655516, 0.8722994819208855, 0.03432891269057298, 0.6450333804839309, 0.6527799021417945, 0.5252617482017934, 0.7601364774742486, 0.6644304764688115, 0.27461779167638345, 0.6228098816904838, 0.6121458652726857, 0.7807097218927553, 0.7141739409614984, 0.7403588062302423, 0.6161574712361249, 0.24382437909004553, 0.49955591679533606, 0.6746894635104239, 0.5919551972213002, 0.282500628205187, 0.30090243564708946, 0.4636744594734887, 0.6960098857123195, 0.731924608101699, 0.6858613570872089, 0.5188521203597128, 0.4628310847546853, 0.444545686644954, 0.425851296413647, 0.44901583310642956, 0.6807679032672005, 0.7415129727335164, 0.5897859701700136, 0.38616757382815436, 0.5805765240411602, 0.6041124426542366, 0.7865156827349602, 0.5110594401550091, 0.30745724454243256]"
RF,"Index(['temp_mean', 'temp_skew', 'temp_q25', 'temp_q75', 'hr_std', 'hr_skew',
       'hr_diff', 'hr_diff2', 'hr_q75', 'hr_qdev', 'hr_max-min', 'gsr_diff',
       'gsr_diff2', 'gsr_q25', 'gsr_q75', 'gsr_qdev', 'rr_std', 'rr_skew',
       'rr_kurtosis', 'rr_diff', 'rr_diff2', 'rr_q25', 'rr_q75', 'rr_qdev'],
      dtype='object')",24,0.7202072538860104,0.7096774193548386,0.75,0.673469387755102,"[[73, 22], [32, 66]]","[0.7206815392391483, 0.2659618515254965, 0.6049135495459216, 0.5691248460098567, 0.8046579304660675, 0.7350000932878903, 0.5031823105604, 0.4838813276945938, 0.38963463524245023, 0.3261372950059229, 0.5643453082582944, 0.37315745294456004, 0.39717994472566653, 0.48970118266363016, 0.46072163708969754, 0.6948180266732781, 0.6040168701658492, 0.38714490501447024, 0.5215712863370344, 0.536621933734193, 0.4561546015723914, 0.2795596658064973, 0.38713366192995985, 0.578538951118981, 0.5922010962236066, 0.4480713212969937, 0.2974519761937142, 0.36720956492363604, 0.5486990871732623, 0.6359173261608178, 0.5813545475209383, 0.6375723921793525, 0.3137338956946037, 0.4290335070838406, 0.39573071766941165, 0.4275648211270874, 0.4710898159616603, 0.42765299949485136, 0.5404982873906381, 0.19015497673744428, 0.2940199685902208, 0.5856568003660975, 0.4739886546942222, 0.5968879833106253, 0.39490951727567825, 0.805230273575714, 0.29246771375687286, 0.3170899503917408, 0.3557254794423956, 0.3453380038556561, 0.5334971563935553, 0.5311072293445631, 0.4542930636156217, 0.2368478835978836, 0.32868321360707337, 0.47307718748707533, 0.5781946926075272, 0.2623807681657372, 0.2756305600568123, 0.47493479037320613, 0.46447903323560286, 0.4065777400709219, 0.5461398900657771, 0.2775378006464963, 0.32400962144623463, 0.4150629730318564, 0.43668009587452333, 0.693050046651505, 0.3616276305288426, 0.25851136458426605, 0.45073624295202347, 0.3362691824014323, 0.6299220404991708, 0.39249678044763564, 0.6556196782066728, 0.38554337545049083, 0.26107732670890993, 0.8083727210756929, 0.28235777070783086, 0.8247768009630243, 0.7364303848727639, 0.6504773156928704, 0.7003910483464689, 0.44263115657983604, 0.4176350696850935, 0.5596062856127373, 0.24709236030311643, 0.6824060946404398, 0.4736728035085014, 0.7288433923148718, 0.43769863187938124, 0.3015196253326052, 0.32178118238602954, 0.37282489970712523, 0.5084565474587467, 0.6341670108943254, 0.2909084645022509, 0.5514644558168559, 0.3357605664580911, 0.7668071524080599, 0.4204191071525697, 0.5789719087003344, 0.228792268189327, 0.3040169986582184, 0.8057708352423555, 0.6297103939032607, 0.406391157596045, 0.3153795516825102, 0.49967316149377583, 0.254116140347502, 0.36971125116526643, 0.33576029989980655, 0.5204630302001464, 0.6254794575926672, 0.409513809380709, 0.7687510356017003, 0.530142140320896, 0.45122203513882925, 0.6067724489557106, 0.7110252968931277, 0.7666802156093503, 0.6373312018559596, 0.5975353210003247, 0.6083496989987279, 0.5489836426576019, 0.7205855782271667, 0.6166919854752414, 0.748328908229891, 0.7222685430829786, 0.7013452457205069, 0.7112538813323571, 0.4242974241730755, 0.4102059503993837, 0.4174216594323497, 0.3079118874548481, 0.4439589865558086, 0.38105336146356295, 0.28894120896610637, 0.5825632579504657, 0.5590721862495381, 0.5905878303552992, 0.36393761215278014, 0.48181112606518295, 0.6484308976212251, 0.8109723852224978, 0.749407003960641, 0.6648640335615071, 0.5919160749720384, 0.34979358855407755, 0.5257295103937197, 0.4653015376242012, 0.5173448728076642, 0.33092552189643737, 0.3903680620749515, 0.37357110161477175, 0.6095341443525619, 0.26176851851851857, 0.528137770018901, 0.4222157514902295, 0.5449508243457111, 0.6002896703504977, 0.5756355330842374, 0.30237440715237457, 0.5201339398742666, 0.4723298324990382, 0.6070267133347811, 0.6754046125443132, 0.5988338711485216, 0.426203519080452, 0.3415866978547255, 0.5782491596201987, 0.6407291893744554, 0.4464432800587735, 0.29830339738234474, 0.39537728330278965, 0.4067596297270921, 0.4769017956167528, 0.6013560574269412, 0.6231652685460991, 0.396374761758243, 0.33269482746178364, 0.4042867192157253, 0.4893988898822683, 0.33457156640717406, 0.632905496690521, 0.5541021994847549, 0.39064969493029095, 0.4298751890616251, 0.3491423030170904, 0.5254992537777681, 0.5118148288160531, 0.5118408837767072, 0.3232111600611599]"
